"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","268","Features","IDGAF (feat. Yeat)","602,157,664","176,821","1,177,475,354"
"2","19","Up 2 Më","Monëy so big","493,200,086","111,724","914,792,451"
"3","108","Lyfë","Out thë way","481,558,096","137,226","893,198,772"
"4","143","2093","If We Being Rëal","398,383,856","186,016","738,926,359"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","327,139,349","80,070","606,781,335"
"6","110","Lyfë","Talk","320,420,591","67,444","594,319,316"
"7","44","4L","Sorry Bout That","272,113,826","71,147","504,719,445"
"8","140","2093","Breathe","262,442,232","90,111","486,780,476"
"9","91","2 Alivë","On tha linë","227,968,006","66,598","422,837,337"
"10","14","Up 2 Më","Gët Busy","207,559,272","61,867","384,983,013"
"11","187","Orphan","Already Rich","196,647,753","47,885","364,744,218"
"12","228","DANGEROUS SUMMER","COMË N GO","193,968,359","478,330","359,774,451"
"13","93","2 Alivë","Poppin","193,537,912","42,596","358,976,054"
"14","126","AftërLyfe","Nun id change","182,583,508","87,598","338,657,716"
"15","26","Up 2 Më","Turban","166,349,636","32,625","308,546,968"
"16","188","Orphan","My wrist","120,714,096","31,984","223,901,712"
"17","94","2 Alivë","Rackz got më (feat. Gunna)","116,300,002","23,108","215,714,406"
"18","212","Trëndi","Mad bout that","113,943,614","30,136","211,343,754"
"19","23","Up 2 Më","Swërved It","105,649,922","30,314","195,960,531"
"20","11","Up 2 Më","Dëserve it","103,181,562","16,518","191,382,193"
"21","264","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","97,051,563","20,348","171,640,347"
"22","40","4L","Off Tha Lot","96,274,255","27,588","178,570,450"
"23","38","4L","Money Twërk","95,775,969","30,681","177,646,225"
"24","28","Up 2 Më","U could tëll","93,188,667","24,597","172,847,271"
"25","131","AftërLyfe","Split","77,060,595","18,344","142,932,762"
"26","109","Lyfë","Systëm","75,098,753","29,773","139,293,918"
"27","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","73,982,541","17,985","137,223,556"
"28","81","2 Alivë","Jus bëtter","73,231,687","28,411","135,830,865"
"29","142","2093","ILUV","71,773,473","36,992","133,126,155"
"30","189","Orphan","bigger thën everything","68,546,737","16,145","127,141,173"
"31","158","2093","Tell më","68,432,438","32,114","126,929,170"
"32","124","AftërLyfe","No morë talk","66,378,271","24,062","123,119,080"
"33","76","2 Alivë","Doublë","63,834,388","22,480","118,400,661"
"34","29","Up 2 Më","Ya Ya","60,821,685","15,653","112,812,669"
"35","275","Features","Yam","60,533,823","15,482","112,278,740"
"36","120","AftërLyfe","How it go","56,285,684","18,562","104,399,249"
"37","159","2093","U Should Know","53,009,708","22,636","98,322,936"
"38","27","Up 2 Më","Twizzy Rich","52,917,149","22,137","98,151,257"
"39","240","Rendezvous","Rendezvous (feat. Yeat)","51,123,267","248,374","100,019,757"
"40","98","2 Alivë","Still countin","51,074,411","15,680","94,733,328"
"41","118","AftërLyfe","Bëttr 0ff","50,989,043","28,820","94,574,986"
"42","77","2 Alivë","Dub","50,902,797","13,463","94,415,016"
"43","21","Up 2 Më","Rokstar","50,673,126","16,230","93,989,020"
"44","175","LYFESTYLE","ORCHESTRATË","48,770,131","99,689","90,459,326"
"45","218","Rich Minion","Rich Minion","48,429,613","4,831","89,827,730"
"46","107","Lyfë","Krank","47,947,728","23,946","88,933,925"
"47","151","2093","Psycho CEO","47,043,478","17,031","87,256,713"
"48","122","AftërLyfe","Mysëlf","44,874,601","28,749","83,233,858"
"49","237","DOG HOUSE","DOG HOUSE (feat. Julia Wolf & Yeat)","44,713,967","88,100","87,434,898"
"50","10","Up 2 Më","Cmon","43,646,881","11,403","80,956,671"
"51","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","42,683,826","14,846","79,170,387"
"52","13","Up 2 Më","Got rich","42,402,002","13,900","78,647,657"
"53","17","Up 2 Më","Lying 4 fun","42,228,098","15,942","78,325,098"
"54","210","Trëndi","Fukit","41,354,864","16,450","76,705,415"
"55","220","King tonka","Heavy stunts (with Don Toliver)","39,202,794","19,020","72,713,734"
"56","79","2 Alivë","Hatër","37,379,938","13,760","69,332,682"
"57","112","Lyfë","Wat it feel lykë","36,778,501","12,544","68,217,131"
"58","156","2093","Stand On It (with Future)","36,540,937","11,482","67,776,495"
"59","222","GEEKED UP","GEEKED UP (FEAT. YEAT)","35,809,324","30,700","70,058,901"
"60","165","LYFESTYLE","GEEK TIMË","34,794,217","19,607","64,536,661"
"61","89","2 Alivë","Nvr again","34,393,434","17,177","63,793,285"
"62","95","2 Alivë","Rollin","34,368,688","17,315","63,747,386"
"63","213","Trëndi","Tonka 2","34,053,386","7,200","63,162,560"
"64","129","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","32,920,881","7,156","61,061,979"
"65","227","DANGEROUS SUMMER","2TONE","32,800,520","69,524","60,838,732"
"66","252","Features","Fuk Tha Clout (feat. Yeat)","32,470,549","9,534","61,357,972"
"67","301","Features","5 2 Üh 60 (feat. Yeat)","32,199,050","10,532","59,723,119"
"68","83","2 Alivë","Kant rëlax","31,686,363","10,194","58,772,182"
"69","111","Lyfë","Up off X","31,463,651","13,363","58,359,094"
"70","92","2 Alivë","Outsidë (feat. Young Thug)","30,129,729","11,862","55,884,922"
"71","56","Alivë","Diëd B4","29,854,191","11,290","55,373,852"
"72","141","2093","Familia","29,362,726","22,120","54,462,277"
"73","146","2093","Morë","28,617,312","11,168","53,079,676"
"74","223","GO AGAIN","GO AGAIN (feat. Superheaven)","28,569,167","24,186","56,226,549"
"75","190","Orphan","The Bell","28,448,957","17,585","52,767,409"
"76","226","DANGEROUS SUMMER","IM YEAT","28,432,206","29,541","52,736,340"
"77","16","Up 2 Më","Kant changë","27,705,484","11,574","51,388,408"
"78","96","2 Alivë","Rëal six","27,544,515","10,848","51,089,841"
"79","84","2 Alivë","Luh gëek","26,170,383","12,579","48,541,088"
"80","99","2 Alivë","Taliban","25,916,745","12,886","48,070,637"
"81","168","LYFESTYLE","GONE 4 A MIN","25,321,455","19,179","46,966,487"
"82","235","DANGEROUS SUMMER","PUT IT ONG","25,303,619","30,552","46,933,405"
"83","101","Lyfë","Can’t stop it","25,020,365","7,902","46,408,023"
"84","128","AftërLyfe","Shhhh","24,865,579","10,139","46,120,924"
"85","72","2 Alivë","3G (feat. Lil Uzi Vert)","24,546,291","9,177","45,528,706"
"86","149","2093","Nothing Changë","24,473,646","10,785","45,393,963"
"87","138","2093","As We Speak (feat. Drake)","24,327,752","10,584","45,123,357"
"88","78","2 Alivë","Gëek high (feat. Ken Carson)","24,087,838","8,552","44,678,362"
"89","234","DANGEROUS SUMMER","OH I DID","23,546,237","63,594","43,673,795"
"90","145","2093","Lyfestylë (with Lil Wayne)","23,485,265","7,973","43,560,704"
"91","160","LYFESTYLE","BË QUIET (FEAT. KODAK BLACK)","22,804,935","20,723","42,298,821"
"92","121","AftërLyfe","Hëavyweight","22,520,052","12,924","41,770,417"
"93","20","Up 2 Më","Morning mudd","21,832,969","10,697","40,496,009"
"94","150","2093","Power Trip","21,672,234","8,181","40,197,876"
"95","133","AftërLyfe","Type monëy","21,429,306","9,996","39,747,291"
"96","69","Alivë","WAR 1","21,169,437","6,824","39,265,283"
"97","48","4L","Tëslas & Rovers","20,707,749","8,265","38,408,939"
"98","169","LYFESTYLE","HEARD OF MË","20,701,114","28,078","38,396,633"
"99","231","DANGEROUS SUMMER","LOCO","20,632,102","28,916","38,268,629"
"100","321","Features","Pop Out","20,429,959","3,720","37,357,732"
"101","54","Alivë","Bäk 2 BED","19,977,449","7,403","37,054,372"
"102","82","2 Alivë","Kant dië","19,861,529","12,727","36,839,362"
"103","130","AftërLyfe","Slamm","19,569,923","6,283","36,298,488"
"104","216","No Handoutz","No Handoutz (feat. Yeat)","19,115,216","4,956","36,903,109"
"105","135","AftërLyfe","Woa...!","18,829,279","6,747","34,924,734"
"106","22","Up 2 Më","Stayëd tha same","18,622,710","7,803","34,541,588"
"107","221","King tonka","King tonka","18,343,524","5,552","34,023,751"
"108","97","2 Alivë","Smooktobër","17,984,907","8,148","33,358,585"
"109","132","AftërLyfe","Sum 2 do","17,425,895","6,151","32,321,724"
"110","86","2 Alivë","Luv monëy (with Lancey Foux)","17,386,177","6,258","32,248,054"
"111","139","2093","Bought The Earth","17,235,063","6,152","31,967,767"
"112","24","Up 2 Më","Told ya","17,210,303","9,159","31,921,842"
"113","241","Made It On Our Own","Made It On Our Own","17,018,182","109,137","31,565,494"
"114","127","AftërLyfe","Rav3 p4rty (feat. Kranky Kranky)","16,944,716","5,219","31,429,228"
"115","178","LYFESTYLE","STFU","16,933,443","7,714","31,408,319"
"116","115","AftërLyfe","Back homë","16,925,589","17,087","31,393,751"
"117","191","Orphan","Already Rich","16,614,252","683","30,816,280"
"118","164","LYFESTYLE","FOREVER AGAIN","16,562,118","11,781","30,719,582"
"119","87","2 Alivë","Narcoticz (feat. Yung Kayo)","16,366,768","7,120","30,357,244"
"120","80","2 Alivë","Jump","16,293,477","7,047","30,221,304"
"121","117","AftërLyfe","Bad bënd / DëMON","16,012,152","5,948","29,699,499"
"122","104","Lyfë","Got it all","15,970,127","5,155","29,621,551"
"123","18","Up 2 Më","Lët ya know","15,872,532","7,004","29,440,531"
"124","35","4L","Goin Back 2 Ella","15,756,486","6,093","29,225,287"
"125","154","2093","Run Thëy Mouth","15,429,386","6,483","28,618,579"
"126","148","2093","Never quit","15,407,273","7,347","28,577,564"
"127","102","Lyfë","Comë on","15,340,500","6,235","28,453,712"
"128","346","ADL","Griddlë","15,291,135","278,147","28,362,150"
"129","116","AftërLyfe","Back up","15,281,451","6,302","28,344,188"
"130","75","2 Alivë","Dnt lië","15,110,742","9,745","28,027,555"
"131","12","Up 2 Më","Factz","14,855,762","7,614","27,554,615"
"132","114","AftërLyfe","7 nightz","14,715,253","5,151","27,293,998"
"133","90","2 Alivë","Nëw turban","14,097,421","5,121","26,148,037"
"134","8","Up 2 Më","Bak on ëm","13,958,700","6,045","25,890,736"
"135","106","Lyfë","Killin ëm","13,725,818","5,249","25,458,784"
"136","65","Alivë","Tonka","13,508,508","3,752","25,055,715"
"137","46","4L","Talk 2 God","13,362,089","5,082","24,784,136"
"138","136","2093","1093","12,987,394","5,579","24,089,148"
"139","224","5BRAZY","5BRAZY (FEAT. QUAVO)","12,814,482","7,011","23,768,429"
"140","247","Features","Probably!","12,679,374","3,525","27,954,849"
"141","155","2093","Shade","12,384,474","4,804","22,970,846"
"142","105","Lyfë","Holy 1","12,369,181","4,896","22,942,480"
"143","39","4L","Mountain Climbërs","12,318,269","4,715","22,848,048"
"144","71","Alivë","X ta C","12,282,280","5,038","22,781,295"
"145","236","DANGEROUS SUMMER","[ADL IS COMING]","12,251,291","18,201","22,723,817"
"146","134","AftërLyfe","Watch","12,212,475","4,012","22,651,820"
"147","137","2093","2093","12,165,445","4,604","22,564,589"
"148","74","2 Alivë","Call më","12,139,788","5,289","22,517,000"
"149","123","AftërLyfe","Mëan feen (feat. Kranky Kranky)","12,116,638","4,235","22,474,061"
"150","85","2 Alivë","Luh m (feat. SeptembersRich)","12,045,589","5,802","22,342,278"
"151","157","2093","Team ceo","11,993,245","4,945","22,245,190"
"152","31","4L","Big Stonëz","11,977,321","6,705","22,215,654"
"153","180","LYFESTYLE","THEY TELL MË","11,830,701","6,672","21,943,702"
"154","147","2093","Mr. Inbetweenit","11,804,355","4,273","21,894,835"
"155","152","2093","Psychocainë","11,382,870","4,296","21,113,061"
"156","125","AftërLyfe","Now (feat. Luh geeky)","11,374,846","3,713","21,098,178"
"157","173","LYFESTYLE","NEW HIGH (FEAT. DON TOLIVER)","11,373,067","11,737","21,094,878"
"158","15","Up 2 Më","Hëy","11,372,990","5,537","21,094,735"
"159","34","4L","Forëally / 4Ly","11,284,264","4,685","20,930,165"
"160","271","Features","Cruisin' (feat. Yeat)","11,146,962","3,928","21,975,165"
"161","9","Up 2 Më","Callin më","11,043,424","6,032","20,483,453"
"162","230","DANGEROUS SUMMER","GROWING PAINS","11,037,944","16,503","20,473,288"
"163","119","AftërLyfe","Dëmon tied","11,036,806","4,347","20,471,178"
"164","153","2093","Riot & Set it off","10,896,450","4,149","20,210,844"
"165","144","2093","Keep Pushin","10,807,908","3,863","20,046,615"
"166","61","Alivë","Oh eX whY","10,686,176","3,592","19,820,826"
"167","166","LYFESTYLE","GO2WORK (FEAT. SUMMRS)","10,486,439","7,290","19,450,351"
"168","163","LYFESTYLE","FLYTROOP","10,363,871","7,872","19,223,011"
"169","265","Features","I Don’t Text Back (feat. Yeat)","10,328,182","2,646","21,798,557"
"170","286","Features","CAN'T B ME (feat. Yeat)","10,157,402","2,607","18,840,050"
"171","229","DANGEROUS SUMMER","FLY NITË","9,883,799","14,326","18,332,569"
"172","238","New Trip","New Trip (feat. Yeat & BNYX®)","9,852,290","12,388","19,955,616"
"173","214","Cali","Cali","9,753,861","0","18,091,558"
"174","233","DANGEROUS SUMMER","M.F.U.","9,550,884","14,298","17,715,075"
"175","100","2 Alivë","Way back","9,433,175","6,883","17,496,747"
"176","253","Features","Not Da Same (feat. Yeat)","9,426,138","4,344","17,812,101"
"177","177","LYFESTYLE","SPEEDBALL","9,273,877","5,525","17,201,279"
"178","171","LYFESTYLE","LYFESTYLE (FEAT. LIL DURK)","9,243,295","5,983","17,144,555"
"179","184","ADL","Let King Tonka Talk","9,127,063","72,684","16,928,967"
"180","162","LYFESTYLE","FATË (BONUS)","9,106,247","7,303","16,890,357"
"181","179","LYFESTYLE","THE COSTËS","9,088,429","5,999","16,857,308"
"182","274","Features","Rose Colored","8,790,317","27,558","16,047,382"
"183","174","LYFESTYLE","ON 1","8,749,355","6,647","16,228,391"
"184","181","LYFESTYLE","U DONT KNOW LYFE","8,659,293","5,773","16,061,343"
"185","232","DANGEROUS SUMMER","LOOSE LEAF","8,430,513","9,331","15,636,999"
"186","88","2 Alivë","No commënt","8,359,328","3,723","15,504,965"
"187","176","LYFESTYLE","SO WHAT","8,019,311","5,494","14,874,298"
"188","211","Trëndi","Insidë out (feat. SeptembersRich)","7,994,046","2,415","14,827,436"
"189","170","LYFESTYLE","LYFE PARTY","7,848,608","7,296","14,557,676"
"190","185","ADL","Purpose General","7,562,032","81,830","14,026,132"
"191","215","YEET","YEET (feat. Yeat)","7,476,663","2,459","13,867,789"
"192","272","Features","Work (feat. Yeat)","7,398,802","4,728","12,072,706"
"193","167","LYFESTYLE","GOD TALKIN SHHH","7,151,940","5,399","13,265,489"
"194","49","4L","WTF","7,116,611","3,063","13,199,961"
"195","161","LYFESTYLE","ELIMINATË","6,950,923","5,209","12,892,641"
"196","325","Features","Appear","6,818,697","977","12,647,387"
"197","239","PIXELATED KISSES","PIXELATED KISSES (with Yeat) (Remix)","6,527,998","11,531","11,917,349"
"198","172","LYFESTYLE","LYING 5 FUN","6,407,109","4,033","11,883,969"
"199","296","Features","Met Tha Devil (feat. Yeat)","6,349,840","2,476","11,777,746"
"200","225","Feël no wayz","Feël no wayz (Yeat mix)","6,111,596","5,836","11,335,849"
"201","342","ADL","Back Home","5,932,993","155,859","11,004,574"
"202","33","4L","Chanëlly","5,917,968","3,047","10,976,706"
"203","348","ADL","Lose Control","5,897,576","50,823","10,938,882"
"204","251","Features","Cap To Me","5,887,082","3,465","11,110,383"
"205","340","ADL","2Nite","5,711,370","65,498","10,593,506"
"206","297","Features","Hello (feat. Yeat)","5,520,749","3,300","10,239,940"
"207","62","Alivë","Sleeptalking","5,438,170","3,141","10,086,772"
"208","273","Features","TRIP OUT","5,398,655","8","9,847,578"
"209","246","Features","zaza","5,272,288","798","9,779,092"
"210","43","4L","Sidëwayz","5,257,919","2,424","9,752,440"
"211","52","Alivë","Balënci Feet","5,246,504","2,666","9,731,268"
"212","45","4L","Swërved It","5,222,912","3,073","9,687,509"
"213","37","4L","Livë Hi","5,174,041","2,508","9,596,862"
"214","36","4L","Jus Wokëup","4,979,393","2,225","9,235,827"
"215","67","Alivë","Trëndy","4,840,117","2,879","8,977,497"
"216","347","ADL","Liv Likë Dis","4,809,894","51,746","8,921,439"
"217","30","4L","All I See","4,793,048","2,374","8,890,193"
"218","219","hollon","hollon","4,734,404","1,649","8,781,419"
"219","41","4L","Ok Kool","4,650,388","2,347","8,625,586"
"220","344","ADL","Face The Flamë","4,618,186","45,466","8,565,857"
"221","42","4L","Provë sum (feat. SeptembersRich)","4,528,860","1,999","8,400,174"
"222","295","Features","Orion's Belt","4,399,599","2,045","8,160,420"
"223","263","Features","Xtra Krazy (feat. Yeat)","4,256,819","2,237","7,895,590"
"224","358","ADL","What I Want","4,233,290","36,863","7,851,948"
"225","47","4L","Trië 2 Tell U outro","4,208,846","2,550","7,806,609"
"226","66","Alivë","Tru to U","4,129,603","3,777","7,659,628"
"227","51","Alivë","Always Alivë","4,078,358","2,170","7,564,579"
"228","336","Features","SWITCH IT","4,010,051","6,940","7,892,121"
"229","32","4L","Bëd Side","3,869,930","2,188","7,177,984"
"230","63","Alivë","Supër Test","3,865,230","2,026","7,169,267"
"231","70","Alivë","Wavëy Krazy","3,715,454","1,872","6,891,461"
"232","353","ADL","Real Life Shit","3,572,121","42,845","6,625,605"
"233","350","ADL","My Way","3,567,020","36,286","6,616,144"
"234","355","ADL","Tallër","3,142,151","29,010","5,828,093"
"235","352","ADL","Naked","3,121,361","38,751","5,789,531"
"236","349","ADL","My Time","3,047,591","33,863","5,652,702"
"237","357","ADL","Went Wrong","2,932,865","31,388","5,439,907"
"238","68","Alivë","Twizzy","2,920,527","1,530","5,417,022"
"239","58","Alivë","Feel it","2,820,134","1,642","5,230,812"
"240","53","Alivë","Bizzy","2,790,052","1,467","5,175,016"
"241","343","ADL","Dangerous House","2,779,415","23,918","5,155,286"
"242","351","ADL","NO MORE GHOSTS","2,695,311","20,697","4,999,289"
"243","60","Alivë","Liftëd","2,640,829","1,376","4,898,236"
"244","57","Alivë","Every Sunday","2,491,732","1,545","4,621,689"
"245","354","ADL","Silk Facë","2,442,221","27,955","4,529,855"
"246","345","ADL","Geek Luv","2,308,711","20,406","4,282,220"
"247","200","Different Creature","Can't Think","2,297,518","794","4,261,459"
"248","299","Features","Duh (feat. Yeat)","2,229,641","810","4,135,560"
"249","64","Alivë","Swërve","2,221,997","1,192","4,121,382"
"250","209","Flashey","Flashey","2,169,884","736","4,024,722"
"251","341","ADL","2Planës","2,154,150","20,100","3,995,538"
"252","50","Alivë","2 Up","2,116,834","1,185","3,926,324"
"253","300","Features","Tesla (feat. Yeat)","2,080,442","1,178","3,858,824"
"254","59","Alivë","Last Day","2,080,228","1,292","3,858,427"
"255","356","ADL","Up From Here","2,073,353","20,422","3,845,675"
"256","55","Alivë","Cöming Down","1,875,893","1,011","3,479,425"
"257","298","Features","Been Off (feat. Yeat)","1,535,844","1,085","2,848,698"
"258","6","Wake Up Call","Stay Up","1,451,243","424","2,691,780"
"259","262","Features","Back Den (feat. Yeat)","1,382,814","1,100","2,564,857"
"260","279","Features","Shipped","1,213,989","208","2,251,718"
"261","280","Features","Guap","1,095,844","801","2,032,582"
"262","1","Wake Up Call","Admit It","1,068,694","418","1,982,224"
