"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","269","Features","IDGAF (feat. Yeat)","609,049,040","170,816","1,190,950,937"
"2","19","Up 2 Më","Monëy so big","497,580,745","118,649","922,917,741"
"3","108","Lyfë","Out thë way","486,774,496","130,362","902,874,202"
"4","143","2093","If We Being Rëal","405,435,917","179,882","752,006,593"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","330,309,031","78,480","612,660,493"
"6","110","Lyfë","Talk","322,952,147","62,672","599,014,871"
"7","44","4L","Sorry Bout That","274,972,202","73,534","510,021,189"
"8","140","2093","Breathe","265,894,009","87,868","493,182,866"
"9","91","2 Alivë","On tha linë","230,720,045","71,265","427,941,846"
"10","228","DANGEROUS SUMMER","COMË N GO","211,729,681","471,583","392,718,329"
"11","14","Up 2 Më","Gët Busy","209,805,444","58,878","389,149,235"
"12","187","Orphan","Already Rich","198,491,640","47,893","368,164,278"
"13","93","2 Alivë","Poppin","195,214,918","43,644","362,086,582"
"14","126","AftërLyfe","Nun id change","185,948,289","87,120","344,898,745"
"15","26","Up 2 Më","Turban","167,700,660","37,638","311,052,861"
"16","186","Orphan","My wrist","121,986,509","33,344","226,261,796"
"17","94","2 Alivë","Rackz got më (feat. Gunna)","117,188,907","21,849","217,363,156"
"18","212","Trëndi","Mad bout that","115,065,466","28,660","213,424,576"
"19","23","Up 2 Më","Swërved It","106,743,156","27,815","197,988,273"
"20","11","Up 2 Më","Dëserve it","103,836,632","16,735","192,597,223"
"21","265","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","97,796,689","18,423","172,958,138"
"22","40","4L","Off Tha Lot","97,292,241","27,313","180,458,621"
"23","38","4L","Money Twërk","97,044,313","35,667","179,998,762"
"24","28","Up 2 Më","U could tëll","94,221,513","26,573","174,763,004"
"25","131","AftërLyfe","Split","77,797,097","19,988","144,298,833"
"26","109","Lyfë","Systëm","76,178,712","29,071","141,297,036"
"27","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","74,684,255","17,851","138,525,103"
"28","81","2 Alivë","Jus bëtter","74,196,900","23,115","137,621,152"
"29","142","2093","ILUV","73,168,985","37,386","135,714,565"
"30","158","2093","Tell më","69,683,733","30,905","129,250,084"
"31","188","Orphan","bigger thën everything","69,181,114","16,405","128,317,822"
"32","124","AftërLyfe","No morë talk","67,273,956","22,216","124,780,406"
"33","76","2 Alivë","Doublë","64,708,472","21,727","120,021,920"
"34","29","Up 2 Më","Ya Ya","61,442,375","15,537","113,963,931"
"35","276","Features","Yam","61,113,180","15,677","113,353,337"
"36","240","Rendezvous","Rendezvous (feat. Yeat)","60,724,306","235,774","118,803,643"
"37","120","AftërLyfe","How it go","56,990,933","17,454","105,707,352"
"38","159","2093","U Should Know","53,908,594","22,832","99,990,199"
"39","27","Up 2 Më","Twizzy Rich","53,758,940","20,905","99,712,619"
"40","175","LYFESTYLE","ORCHESTRATË","52,111,329","83,230","96,656,614"
"41","118","AftërLyfe","Bëttr 0ff","52,038,220","28,386","96,521,010"
"42","98","2 Alivë","Still countin","51,681,939","15,049","95,860,177"
"43","77","2 Alivë","Dub","51,415,666","14,135","95,366,291"
"44","21","Up 2 Më","Rokstar","51,267,544","15,802","95,091,553"
"45","107","Lyfë","Krank","48,919,801","23,543","90,736,936"
"46","218","Rich Minion","Rich Minion","48,610,258","4,917","90,162,792"
"47","237","DOG HOUSE","DOG HOUSE (feat. Julia Wolf & Yeat)","48,402,748","96,179","94,648,040"
"48","151","2093","Psycho CEO","47,709,220","16,863","88,491,538"
"49","122","AftërLyfe","Mysëlf","46,039,988","31,328","85,395,430"
"50","10","Up 2 Më","Cmon","44,066,450","10,134","81,734,892"
"51","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","43,255,079","15,889","80,229,953"
"52","13","Up 2 Më","Got rich","42,896,732","13,090","79,565,287"
"53","17","Up 2 Më","Lying 4 fun","42,831,515","15,870","79,444,322"
"54","210","Trëndi","Fukit","42,021,628","17,018","77,942,135"
"55","220","King tonka","Heavy stunts (with Don Toliver)","39,942,307","20,006","74,085,390"
"56","79","2 Alivë","Hatër","37,898,882","11,891","70,295,225"
"57","112","Lyfë","Wat it feel lykë","37,306,650","13,375","69,196,747"
"58","222","GEEKED UP","GEEKED UP (FEAT. YEAT)","36,976,457","30,501","72,342,330"
"59","156","2093","Stand On It (with Future)","36,974,870","11,488","68,581,358"
"60","165","LYFESTYLE","GEEK TIMË","35,542,736","19,994","65,925,022"
"61","227","DANGEROUS SUMMER","2TONE","35,502,862","78,387","65,851,063"
"62","89","2 Alivë","Nvr again","35,018,214","16,321","64,952,133"
"63","95","2 Alivë","Rollin","34,973,596","15,294","64,869,375"
"64","213","Trëndi","Tonka 2","34,336,171","7,564","63,687,073"
"65","129","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","33,194,567","7,032","61,569,614"
"66","253","Features","Fuk Tha Clout (feat. Yeat)","32,818,450","7,638","62,015,384"
"67","303","Features","5 2 Üh 60 (feat. Yeat)","32,610,856","10,330","60,486,941"
"68","83","2 Alivë","Kant rëlax","32,135,202","11,818","59,604,694"
"69","111","Lyfë","Up off X","31,970,036","12,481","59,298,342"
"70","92","2 Alivë","Outsidë (feat. Young Thug)","30,553,767","10,546","56,671,432"
"71","141","2093","Familia","30,287,771","21,791","56,178,060"
"72","56","Alivë","Diëd B4","30,261,704","10,711","56,129,711"
"73","226","DANGEROUS SUMMER","IM YEAT","29,598,079","31,212","54,898,812"
"74","223","GO AGAIN","GO AGAIN (feat. Superheaven)","29,492,715","24,275","58,044,170"
"75","190","Orphan","The Bell","29,108,735","17,039","53,991,172"
"76","146","2093","Morë","29,067,025","11,577","53,913,808"
"77","16","Up 2 Më","Kant changë","28,130,008","10,798","52,175,820"
"78","96","2 Alivë","Rëal six","27,946,693","10,161","51,835,805"
"79","84","2 Alivë","Luh gëek","26,659,826","13,063","49,448,911"
"80","235","DANGEROUS SUMMER","PUT IT ONG","26,464,881","29,522","49,087,325"
"81","99","2 Alivë","Taliban","26,365,098","10,694","48,902,247"
"82","168","LYFESTYLE","GONE 4 A MIN","26,090,318","20,130","48,392,582"
"83","234","DANGEROUS SUMMER","OH I DID","26,022,536","63,949","48,266,859"
"84","101","Lyfë","Can’t stop it","25,323,787","8,176","46,970,813"
"85","128","AftërLyfe","Shhhh","25,229,592","9,269","46,796,099"
"86","149","2093","Nothing Changë","24,894,416","10,827","46,174,411"
"87","72","2 Alivë","3G (feat. Lil Uzi Vert)","24,887,998","8,655","46,162,507"
"88","138","2093","As We Speak (feat. Drake)","24,745,631","10,678","45,898,443"
"89","347","ADL","Griddlë","24,549,865","234,501","45,535,335"
"90","78","2 Alivë","Gëek high (feat. Ken Carson)","24,409,138","8,127","45,274,313"
"91","145","2093","Lyfestylë (with Lil Wayne)","23,792,371","8,112","44,130,327"
"92","160","LYFESTYLE","BË QUIET (FEAT. KODAK BLACK)","23,568,874","19,442","43,715,783"
"93","121","AftërLyfe","Hëavyweight","23,019,367","13,141","42,696,552"
"94","20","Up 2 Më","Morning mudd","22,255,814","11,182","41,280,306"
"95","150","2093","Power Trip","21,983,867","7,901","40,775,896"
"96","133","AftërLyfe","Type monëy","21,822,408","9,859","40,476,420"
"97","231","DANGEROUS SUMMER","LOCO","21,740,085","31,568","40,323,727"
"98","169","LYFESTYLE","HEARD OF MË","21,699,395","23,696","40,248,254"
"99","69","Alivë","WAR 1","21,439,756","7,865","39,766,673"
"100","48","4L","Tëslas & Rovers","21,048,314","8,566","39,040,623"
"101","321","Features","Pop Out","20,579,354","4,204","37,630,912"
"102","82","2 Alivë","Kant dië","20,373,023","11,682","37,788,086"
"103","241","Made It On Our Own","Made It On Our Own","20,326,293","68,221","37,701,411"
"104","54","Alivë","Bäk 2 BED","20,309,191","9,120","37,669,690"
"105","130","AftërLyfe","Slamm","19,811,981","6,387","36,747,460"
"106","343","ADL","Back Home","19,639,647","548,673","36,427,813"
"107","216","No Handoutz","No Handoutz (feat. Yeat)","19,321,211","5,077","37,300,795"
"108","135","AftërLyfe","Woa...!","19,078,834","7,135","35,387,612"
"109","22","Up 2 Më","Stayëd tha same","18,912,153","7,160","35,078,450"
"110","221","King tonka","King tonka","18,574,933","5,775","34,452,971"
"111","97","2 Alivë","Smooktobër","18,295,568","8,310","33,934,802"
"112","132","AftërLyfe","Sum 2 do","17,660,750","6,073","32,757,335"
"113","86","2 Alivë","Luv monëy (with Lancey Foux)","17,639,996","6,369","32,718,840"
"114","115","AftërLyfe","Back homë","17,628,181","19,080","32,696,926"
"115","24","Up 2 Më","Told ya","17,548,249","8,715","32,548,667"
"116","139","2093","Bought The Earth","17,472,200","5,929","32,407,611"
"117","178","LYFESTYLE","STFU","17,223,401","7,478","31,946,136"
"118","127","AftërLyfe","Rav3 p4rty (feat. Kranky Kranky)","17,152,370","5,694","31,814,387"
"119","164","LYFESTYLE","FOREVER AGAIN","16,993,542","10,557","31,519,791"
"120","87","2 Alivë","Narcoticz (feat. Yung Kayo)","16,643,823","6,757","30,871,129"
"121","191","Orphan","Already Rich","16,639,502","769","30,863,114"
"122","80","2 Alivë","Jump","16,542,957","6,433","30,684,042"
"123","117","AftërLyfe","Bad bënd / DëMON","16,224,532","5,610","30,093,424"
"124","104","Lyfë","Got it all","16,168,261","5,404","29,989,052"
"125","18","Up 2 Më","Lët ya know","16,144,934","7,206","29,945,785"
"126","35","4L","Goin Back 2 Ella","15,978,144","5,507","29,636,421"
