"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","261","Features","IDGAF (feat. Yeat)","590,476,872","174,367","1,154,634,418"
"2","19","Up 2 Më","Monëy so big","485,043,213","126,038","899,663,001"
"3","108","Lyfë","Out thë way","472,299,883","142,530","876,026,545"
"4","143","2093","If We Being Rëal","385,610,543","190,605","715,234,291"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","321,481,914","82,976","596,287,868"
"6","110","Lyfë","Talk","315,754,885","70,773","585,665,318"
"7","44","4L","Sorry Bout That","266,946,787","72,219","495,135,569"
"8","140","2093","Breathe","255,623,352","105,716","474,132,749"
"9","91","2 Alivë","On tha linë","222,996,543","78,732","413,616,217"
"10","14","Up 2 Më","Gët Busy","203,308,324","55,927","377,098,312"
"11","210","Already Rich","Already Rich","192,907,673","56,647","357,807,080"
"12","93","2 Alivë","Poppin","190,372,974","44,343","353,105,695"
"13","126","AftërLyfe","Nun id change","175,827,901","86,467","326,127,349"
"14","26","Up 2 Më","Turban","163,888,006","32,473","303,981,112"
"15","221","DANGEROUS SUMMER","COMË N GO","158,105,342","528,342","293,255,369"
"16","211","My wrist","My wrist (with Young Thug)","118,532,399","31,020","219,855,078"
"17","94","2 Alivë","Rackz got më (feat. Gunna)","114,602,663","21,004","212,566,165"
"18","206","Trëndi","Mad bout that","111,574,067","33,940","206,948,695"
"19","23","Up 2 Më","Swërved It","103,596,935","26,898","192,152,631"
"20","11","Up 2 Më","Dëserve it","101,952,230","15,720","189,102,015"
"21","256","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","95,570,774","23,257","169,021,501"
"22","40","4L","Off Tha Lot","94,320,776","22,396","174,947,118"
"23","38","4L","Money Twërk","93,542,061","25,369","173,502,750"
"24","28","Up 2 Më","U could tëll","91,376,298","22,075","169,485,671"
"25","131","AftërLyfe","Split","75,545,792","23,386","140,123,090"
"26","109","Lyfë","Systëm","72,970,684","27,750","135,346,754"
"27","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","72,607,332","17,328","134,672,805"
"28","81","2 Alivë","Jus bëtter","71,323,279","21,901","132,291,131"
"29","142","2093","ILUV","68,804,045","43,745","127,618,430"
"30","212","bigger thën everything","bigger thën everything","67,350,722","16,328","124,922,792"
"31","158","2093","Tell më","66,019,363","33,117","122,453,374"
"32","124","AftërLyfe","No morë talk","64,362,492","23,263","119,380,193"
"33","76","2 Alivë","Doublë","62,192,101","18,652","115,354,530"
"34","29","Up 2 Më","Ya Ya","59,732,868","13,854","110,793,120"
"35","299","Features","Yam","59,391,207","16,579","110,159,404"
"36","120","AftërLyfe","How it go","54,880,834","17,478","101,793,519"
"37","159","2093","U Should Know","51,308,791","26,154","95,168,058"
"38","27","Up 2 Më","Twizzy Rich","51,146,719","21,945","94,867,445"
"39","98","2 Alivë","Still countin","50,019,430","14,007","92,776,538"
"40","77","2 Alivë","Dub","49,987,011","11,749","92,716,407"
"41","21","Up 2 Më","Rokstar","49,479,179","13,997","91,774,476"
"42","118","AftërLyfe","Bëttr 0ff","48,683,835","28,518","90,299,263"
"43","208","Rich Minion","Rich Minion","48,076,605","6,091","89,172,967"
"44","107","Lyfë","Krank","46,265,010","23,270","85,812,803"
"45","151","2093","Psycho CEO","45,701,043","19,070","84,766,751"
"46","10","Up 2 Më","Cmon","42,800,219","9,914","79,386,274"
"47","122","AftërLyfe","Mysëlf","42,625,802","33,788","79,062,763"
"48","175","LYFESTYLE","ORCHESTRATË","41,631,822","97,975","77,219,119"
"49","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","41,570,264","13,337","77,104,941"
"50","13","Up 2 Më","Got rich","41,340,616","12,458","76,678,987"
"51","17","Up 2 Më","Lying 4 fun","41,130,010","14,303","76,288,353"
"52","204","Trëndi","Fukit","40,343,466","13,516","74,829,464"
"53","230","DOG HOUSE","DOG HOUSE (feat. Julia Wolf & Yeat)","38,990,323","90,467","76,242,730"
"54","213","King tonka","Heavy stunts (with Don Toliver)","37,664,254","21,565","69,860,034"
"55","79","2 Alivë","Hatër","36,386,684","10,940","67,490,385"
"56","112","Lyfë","Wat it feel lykë","35,811,150","12,343","66,422,879"
"57","156","2093","Stand On It (with Future)","35,692,221","11,951","66,202,288"
"58","207","Trëndi","Tonka 2","33,543,572","6,693","62,216,952"
