"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","241","Features","IDGAF (feat. Yeat)","528,925,157","221,163","1,034,268,714"
"2","19","Up 2 Më","Monëy so big","447,204,498","149,576","829,479,822"
"3","108","Lyfë","Out thë way","429,844,161","164,926","797,279,678"
"4","142","2093","If We Being Rëal","313,035,150","333,889","580,621,039"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","292,543,126","116,054","542,612,208"
"6","110","Lyfë","Talk","291,326,105","102,411","540,354,864"
"7","44","4L","Sorry Bout That","245,370,288","86,343","455,115,509"
"8","139","2093","Breathe","221,826,586","144,565","411,446,391"
"9","91","2 Alivë","On tha linë","203,090,741","76,234","376,694,940"
"10","14","Up 2 Më","Gët Busy","186,039,642","62,503","345,068,374"
"11","93","2 Alivë","Poppin","176,801,382","48,428","327,933,148"
"12","184","Orphan","Already Rich","175,507,966","75,825","325,534,105"
"13","26","Up 2 Më","Turban","153,227,266","39,303","284,207,618"
"14","125","AftërLyfe","Nun id change","149,321,688","95,076","276,963,509"
"15","94","2 Alivë","Rackz got më (feat. Gunna)","107,319,910","25,731","199,058,149"
"16","183","Orphan","My wrist","107,246,397","47,835","198,921,796"
"17","205","Trëndi","Mad bout that","101,972,435","31,473","189,139,594"
"18","11","Up 2 Më","Dëserve it","96,671,825","20,537","179,307,964"
"19","23","Up 2 Më","Swërved It","94,057,488","31,302","174,458,863"
"20","262","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","89,036,660","25,652","157,465,606"
"21","40","4L","Off Tha Lot","87,110,660","23,394","161,573,810"
"22","38","4L","Money Twërk","83,955,290","24,492","155,721,195"
"23","28","Up 2 Më","U could tëll","83,654,116","29,044","155,162,574"
"24","130","AftërLyfe","Split","69,733,532","21,937","129,342,522"
"25","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","66,581,335","20,861","123,495,792"
"26","81","2 Alivë","Jus bëtter","65,019,327","20,823","120,598,562"
"27","109","Lyfë","Systëm","64,700,637","26,254","120,007,453"
"28","182","Orphan","bigger thën everything","61,073,785","23,977","113,280,328"
"29","123","AftërLyfe","No morë talk","57,236,276","26,131","106,162,474"
"30","76","2 Alivë","Doublë","56,767,942","16,331","105,293,803"
"31","29","Up 2 Më","Ya Ya","55,062,199","19,455","102,129,972"
"32","229","Features","Yam","53,909,081","23,369","99,991,156"
"33","157","2093","Tell më","52,999,847","56,265","98,304,699"
"34","141","2093","ILUV","51,768,664","97,921","96,021,087"
"35","119","AftërLyfe","How it go","49,909,498","19,350","92,572,685"
"36","210","Rich Minion","Rich Minion","46,499,395","5,905","86,247,589"
"37","77","2 Alivë","Dub","46,421,880","11,943","86,103,813"
"38","98","2 Alivë","Still countin","45,633,427","14,371","84,641,382"
"39","21","Up 2 Më","Rokstar","44,816,470","14,821","83,126,081"
"40","27","Up 2 Më","Twizzy Rich","43,855,790","17,016","81,344,201"
"41","158","2093","U Should Know","41,952,992","36,503","77,814,871"
"42","117","AftërLyfe","Bëttr 0ff","41,298,843","24,568","76,601,548"
"43","107","Lyfë","Krank","39,808,720","19,815","73,837,651"
"44","10","Up 2 Më","Cmon","39,505,811","10,177","73,275,812"
"45","150","2093","Psycho CEO","38,860,880","30,388","72,079,587"
"46","13","Up 2 Më","Got rich","37,449,423","12,698","69,461,601"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","37,253,727","13,649","69,098,622"
"48","17","Up 2 Më","Lying 4 fun","36,999,676","12,816","68,627,406"
"49","203","Trëndi","Fukit","36,204,058","15,018","67,151,685"
"50","121","AftërLyfe","Mysëlf","33,524,215","31,102","62,181,082"
"51","79","2 Alivë","Hatër","33,003,365","12,793","61,215,004"
"52","112","Lyfë","Wat it feel lykë","32,338,866","9,991","59,982,484"
"53","206","Trëndi","Tonka 2","31,560,739","7,062","58,539,205"
"54","155","2093","Stand On It (with Future)","31,440,767","18,080","58,316,680"
"55","212","King tonka","Heavy stunts (with Don Toliver)","30,553,104","29,417","56,670,233"
"56","128","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","30,320,493","7,513","56,238,783"
"57","252","Features","Fuk Tha Clout (feat. Yeat)","29,232,516","12,274","55,239,136"
"58","95","2 Alivë","Rollin","29,177,896","12,718","54,119,482"
"59","89","2 Alivë","Nvr again","29,084,987","13,933","53,947,153"
"60","285","Features","5 2 Üh 60 (feat. Yeat)","29,021,191","8,275","53,828,824"
"61","83","2 Alivë","Kant rëlax","28,234,059","8,974","52,368,843"
"62","111","Lyfë","Up off X","26,781,176","12,417","49,674,019"
"63","92","2 Alivë","Outsidë (feat. Young Thug)","26,140,537","10,380","48,485,755"
"64","56","Alivë","Diëd B4","25,945,777","9,638","48,124,512"
"65","214","GEEKED UP","GEEKED UP (FEAT. YEAT)","24,772,076","34,874","48,465,006"
"66","96","2 Alivë","Rëal six","23,928,108","8,761","44,382,117"
"67","16","Up 2 Më","Kant changë","23,620,624","10,670","43,811,793"
"68","145","2093","Morë","23,474,059","17,068","43,539,942"
"69","164","LYFESTYLE","GEEK TIMË","23,330,789","46,492","43,274,204"
"70","99","2 Alivë","Taliban","22,222,343","8,594","41,218,246"
"71","101","Lyfë","Can’t stop it","22,007,027","8,168","40,818,875"
"72","72","2 Alivë","3G (feat. Lil Uzi Vert)","21,954,111","7,388","40,720,726"
"73","84","2 Alivë","Luh gëek","21,866,428","10,167","40,558,091"
"74","127","AftërLyfe","Shhhh","21,200,950","11,342","39,323,755"
"75","78","2 Alivë","Gëek high (feat. Ken Carson)","20,875,767","8,976","38,720,602"
"76","148","2093","Nothing Changë","20,036,977","14,236","37,164,805"
"77","144","2093","Lyfestylë (with Lil Wayne)","19,897,021","11,716","36,905,213"
"78","174","LYFESTYLE","ORCHESTRATË","19,604,247","55,020","36,362,172"
"79","137","2093","As We Speak (feat. Drake)","19,542,556","10,885","36,247,747"
"80","284","Features","Pop Out","19,171,538","3,658","35,056,441"
"81","69","Alivë","WAR 1","18,832,290","5,998","34,930,338"
"82","215","GO AGAIN","GO AGAIN (feat. Superheaven)","18,701,805","26,491","34,688,313"
"83","20","Up 2 Më","Morning mudd","18,352,257","7,967","34,039,968"
"84","149","2093","Power Trip","18,161,444","11,080","33,686,046"
"85","48","4L","Tëslas & Rovers","17,930,615","7,403","33,257,901"
"86","132","AftërLyfe","Type monëy","17,639,744","10,583","32,718,391"
"87","129","AftërLyfe","Slamm","17,320,399","6,489","32,126,066"
"88","54","Alivë","Bäk 2 BED","17,007,528","7,577","31,545,750"
"89","208","No Handoutz","No Handoutz (feat. Yeat)","16,980,987","5,796","32,782,644"
"90","134","AftërLyfe","Woa...!","16,517,658","8,103","30,637,133"
"91","140","2093","Familia","16,371,878","12,197","30,366,739"
"92","22","Up 2 Më","Stayëd tha same","15,895,819","7,440","29,483,739"
"93","213","King tonka","King tonka","15,889,930","9,286","29,472,816"
"94","82","2 Alivë","Kant dië","15,744,722","13,252","29,203,483"
"95","131","AftërLyfe","Sum 2 do","15,268,477","6,533","28,320,139"
"96","86","2 Alivë","Luv monëy (with Lancey Foux)","15,241,885","6,170","28,270,815"
"97","167","LYFESTYLE","GONE 4 A MIN","15,154,196","35,180","28,108,169"
"98","97","2 Alivë","Smooktobër","15,123,165","7,204","28,050,612"
"99","126","AftërLyfe","Rav3 p4rty (feat. Kranky Kranky)","15,032,520","5,422","27,882,483"
"100","138","2093","Bought The Earth","14,437,595","9,124","26,779,010"
"101","80","2 Alivë","Jump","14,248,035","4,906","26,427,412"
"102","24","Up 2 Më","Told ya","14,051,343","6,712","26,062,585"
"103","120","AftërLyfe","Hëavyweight","14,034,990","42,460","26,032,253"
"104","104","Lyfë","Got it all","13,973,844","5,659","25,918,839"
"105","116","AftërLyfe","Bad bënd / DëMON","13,958,678","6,089","25,890,709"
"106","87","2 Alivë","Narcoticz (feat. Yung Kayo)","13,890,491","5,586","25,764,235"
"107","35","4L","Goin Back 2 Ella","13,708,850","5,193","25,427,325"
"108","159","LYFESTYLE","BË QUIET (FEAT. KODAK BLACK)","13,573,270","27,465","25,175,850"
"109","18","Up 2 Më","Lët ya know","13,373,318","5,567","24,804,977"
"110","102","Lyfë","Comë on","13,278,464","6,083","24,629,041"
"111","115","AftërLyfe","Back up","13,197,493","5,433","24,478,855"
"112","113","AftërLyfe","7 nightz","12,805,103","5,306","23,751,045"
"113","153","2093","Run Thëy Mouth","12,602,476","8,903","23,375,211"
"114","177","LYFESTYLE","STFU","12,584,802","17,154","23,342,429"
"115","90","2 Alivë","Nëw turban","12,489,004","3,870","23,164,741"
"116","75","2 Alivë","Dnt lië","12,482,881","5,243","23,153,384"
"117","218","The Bell","The Bell","12,404,742","171,024","23,008,451"
"118","114","AftërLyfe","Back homë","12,360,620","8,565","22,926,613"
"119","147","2093","Never quit","12,285,938","10,575","22,788,092"
"120","12","Up 2 Më","Factz","12,222,210","6,370","22,669,889"
"121","65","Alivë","Tonka","12,168,860","3,565","22,570,935"
"122","8","Up 2 Më","Bak on ëm","11,864,931","5,140","22,007,204"
"123","106","Lyfë","Killin ëm","11,777,158","5,291","21,844,402"
"124","46","4L","Talk 2 God","11,482,491","5,023","21,297,850"
"125","225","Features","Probably!","11,081,112","3,572","24,431,192"
"126","133","AftërLyfe","Watch","10,785,570","4,258","20,005,193"
"127","163","LYFESTYLE","FOREVER AGAIN","10,780,223","18,544","19,995,276"
"128","39","4L","Mountain Climbërs","10,723,028","4,427","19,889,190"
"129","105","Lyfë","Holy 1","10,625,622","4,744","19,708,520"
"130","122","AftërLyfe","Mëan feen (feat. Kranky Kranky)","10,597,598","4,294","19,656,541"
"131","71","Alivë","X ta C","10,552,350","4,273","19,572,614"
"132","135","2093","1093","10,480,834","8,045","19,439,966"
"133","74","2 Alivë","Call më","10,477,694","4,240","19,434,142"
"134","85","2 Alivë","Luh m (feat. SeptembersRich)","10,417,600","3,423","19,322,679"
"135","154","2093","Shade","10,332,303","6,435","19,164,469"
"136","136","2093","2093","10,232,481","6,289","18,979,318"
"137","220","Orphan","Cali","10,125,226","3,440","18,780,380"
"138","124","AftërLyfe","Now (feat. Luh geeky)","10,074,819","3,496","18,686,885"
"139","156","2093","Team ceo","9,890,172","6,783","18,344,399"
