"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","257","Features","IDGAF (feat. Yeat)","577,921,152","194,045","1,130,082,624"
"2","19","Up 2 Më","Monëy so big","476,149,070","142,789","883,166,056"
"3","108","Lyfë","Out thë way","462,605,113","150,345","858,044,589"
"4","164","2093","If We Being Rëal","371,757,361","216,651","689,539,270"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","314,908,509","102,114","584,095,451"
"6","110","Lyfë","Talk","310,971,602","72,343","576,793,237"
"7","66","4L","Sorry Bout That","262,181,971","77,489","486,297,741"
"8","161","2093","Breathe","248,402,686","111,819","460,739,786"
"9","91","2 Alivë","On tha linë","218,020,497","69,624","404,386,598"
"10","14","Up 2 Më","Gët Busy","199,260,075","68,145","369,589,579"
"11","184","Orphan","Already Rich","189,091,005","56,269","350,727,886"
"12","93","2 Alivë","Poppin","187,427,024","43,082","347,641,518"
"13","125","AftërLyfe","Nun id change","169,858,221","96,376","315,054,726"
"14","26","Up 2 Më","Turban","161,542,709","38,876","299,631,032"
"15","182","Orphan","My wrist","116,366,597","32,769","215,837,927"
"16","94","2 Alivë","Rackz got më (feat. Gunna)","113,043,480","23,760","209,674,177"
"17","222","DANGEROUS SUMMER","COMË N GO","111,281,454","878,615","206,405,953"
"18","208","Trëndi","Mad bout that","109,256,144","34,782","202,649,388"
"19","23","Up 2 Më","Swërved It","101,534,492","38,055","188,327,191"
"20","11","Up 2 Më","Dëserve it","100,823,516","18,161","187,008,465"
"21","276","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","93,941,727","24,049","166,140,453"
"22","62","4L","Off Tha Lot","92,577,295","27,784","171,713,292"
"23","60","4L","Money Twërk","91,576,050","35,029","169,856,173"
"24","28","Up 2 Më","U could tëll","89,688,520","27,242","166,355,163"
"25","130","AftërLyfe","Split","74,010,768","21,300","137,275,912"
"26","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","71,206,330","22,031","132,074,212"
"27","109","Lyfë","Systëm","71,019,452","30,925","131,727,589"
"28","81","2 Alivë","Jus bëtter","69,765,038","22,464","129,400,890"
"29","183","Orphan","bigger thën everything","66,114,765","18,885","122,630,327"
"30","163","2093","ILUV","65,582,424","52,904","121,642,935"
"31","179","2093","Tell më","63,501,186","39,719","117,782,634"
"32","123","AftërLyfe","No morë talk","62,746,291","23,511","116,382,448"
"33","76","2 Alivë","Doublë","60,792,048","21,132","112,757,698"
"34","29","Up 2 Më","Ya Ya","58,707,636","16,364","108,891,510"
"35","245","Features","Yam","58,231,338","19,392","108,008,068"
"36","119","AftërLyfe","How it go","53,623,273","15,843","99,460,982"
"37","27","Up 2 Më","Twizzy Rich","49,502,671","27,293","91,818,049"
"38","180","2093","U Should Know","49,355,788","34,459","91,545,609"
"39","77","2 Alivë","Dub","49,105,047","13,003","91,080,532"
"40","98","2 Alivë","Still countin","49,012,008","16,249","90,907,962"
"41","21","Up 2 Më","Rokstar","48,416,148","16,305","89,802,755"
"42","214","Rich Minion","Rich Minion","47,731,673","5,390","88,533,184"
"43","117","AftërLyfe","Bëttr 0ff","46,684,306","30,263","86,590,517"
"44","107","Lyfë","Krank","44,961,906","20,176","83,395,792"
"45","172","2093","Psycho CEO","44,270,922","23,406","82,114,148"
"46","10","Up 2 Më","Cmon","42,049,819","11,784","77,994,424"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","40,609,562","17,156","75,323,021"
"48","13","Up 2 Më","Got rich","40,451,622","14,917","75,030,073"
"49","121","AftërLyfe","Mysëlf","40,276,941","30,753","74,706,072"
"50","17","Up 2 Më","Lying 4 fun","40,162,783","14,879","74,494,331"
"51","206","Trëndi","Fukit","39,373,810","14,076","73,030,936"
"52","186","Orphan","Heavy stunts","36,011,629","27,966","66,794,729"
"53","79","2 Alivë","Hatër","35,537,541","13,510","65,915,386"
"54","112","Lyfë","Wat it feel lykë","34,934,331","12,236","64,796,546"
"55","177","2093","Stand On It (with Future)","34,802,590","13,474","64,552,191"
"56","150","LYFESTYLE","ORCHESTRATË","33,991,753","117,991","63,048,243"
"57","209","Trëndi","Tonka 2","33,094,204","6,413","61,383,460"
"58","231","DOG HOUSE","DOG HOUSE (feat. Julia Wolf & Yeat)","32,224,746","105,300","63,013,138"
"59","89","2 Alivë","Nvr again","32,159,047","16,043","59,648,921"
"60","95","2 Alivë","Rollin","32,092,069","14,498","59,524,690"
"61","128","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","31,916,521","6,976","59,199,082"
"62","217","GEEKED UP","GEEKED UP (FEAT. YEAT)","31,347,630","32,460","61,329,851"
"63","266","Features","Fuk Tha Clout (feat. Yeat)","31,341,646","8,909","59,224,741"
"64","140","LYFESTYLE","GEEK TIMË","31,064,010","36,325","57,617,836"
"65","300","Features","5 2 Üh 60 (feat. Yeat)","30,956,289","8,426","57,418,034"
"66","83","2 Alivë","Kant rëlax","30,310,896","10,666","56,220,953"
"67","111","Lyfë","Up off X","29,669,670","11,206","55,031,600"
"68","92","2 Alivë","Outsidë (feat. Young Thug)","28,541,129","11,623","52,938,371"
"69","36","Alivë","Diëd B4","28,352,226","9,193","52,587,992"
"70","167","2093","Morë","26,779,241","14,910","49,670,403"
"71","96","2 Alivë","Rëal six","26,055,615","9,700","48,328,215"
"72","16","Up 2 Më","Kant changë","26,023,955","11,630","48,269,491"
"73","187","Orphan","The Bell","25,463,391","26,906","47,229,752"
"74","218","GO AGAIN","GO AGAIN (feat. Superheaven)","25,096,047","29,683","46,548,399"
"75","162","2093","Familia","24,805,411","45,490","46,009,324"
"76","99","2 Alivë","Taliban","24,324,716","10,829","45,117,726"
"77","84","2 Alivë","Luh gëek","24,323,360","10,494","45,115,211"
"78","101","Lyfë","Can’t stop it","23,927,472","8,593","44,380,914"
"79","72","2 Alivë","3G (feat. Lil Uzi Vert)","23,500,198","7,079","43,588,402"
"80","127","AftërLyfe","Shhhh","23,477,286","9,913","43,545,904"
"81","220","DANGEROUS SUMMER","IM YEAT","23,152,008","51,129","42,942,575"
"82","78","2 Alivë","Gëek high (feat. Ken Carson)","22,842,177","9,406","42,367,898"
"83","170","2093","Nothing Changë","22,841,816","13,575","42,367,228"
"84","159","2093","As We Speak (feat. Drake)","22,586,023","14,152","41,892,781"
"85","221","DANGEROUS SUMMER","2TONE","22,280,471","91,455","41,326,040"
"86","166","2093","Lyfestylë (with Lil Wayne)","22,214,992","9,255","41,204,589"
"87","143","LYFESTYLE","GONE 4 A MIN","22,015,679","28,245","40,834,901"
"88","120","AftërLyfe","Hëavyweight","20,520,339","18,382","38,061,329"
"89","171","2093","Power Trip","20,416,081","9,570","37,867,951"
"90","20","Up 2 Më","Morning mudd","20,374,858","10,008","37,791,490"
"91","49","Alivë","WAR 1","20,267,620","6,667","37,592,584"
"92","241","Features","Pop Out","19,988,617","3,398","36,550,705"
"93","132","AftërLyfe","Type monëy","19,862,680","10,510","36,841,497"
"94","229","DANGEROUS SUMMER","PUT IT ONG","19,734,500","55,982","36,603,747"
"95","70","4L","Tëslas & Rovers","19,623,431","7,614","36,397,736"
"96","135","LYFESTYLE","BË QUIET (FEAT. KODAK BLACK)","19,296,655","34,780","35,791,628"
"97","34","Alivë","Bäk 2 BED","18,823,704","9,102","34,914,394"
"98","129","AftërLyfe","Slamm","18,702,383","5,715","34,689,367"
