"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","242","Features","IDGAF (feat. Yeat)","544,079,033","217,977","1,063,900,846"
"2","19","Up 2 Më","Monëy so big","456,808,580","129,678","847,293,579"
"3","108","Lyfë","Out thë way","440,517,920","149,523","817,077,483"
"4","164","2093","If We Being Rëal","334,213,864","283,298","619,903,551"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","300,025,596","95,787","556,490,775"
"6","110","Lyfë","Talk","298,410,274","96,565","553,494,658"
"7","66","4L","Sorry Bout That","251,144,433","75,197","465,825,456"
"8","161","2093","Breathe","231,261,600","118,566","428,946,559"
"9","91","2 Alivë","On tha linë","207,903,817","64,188","385,622,286"
"10","14","Up 2 Më","Gët Busy","190,065,269","54,330","352,535,151"
"11","93","2 Alivë","Poppin","180,390,896","47,599","334,591,018"
"12","181","Orphan","Already Rich","180,354,100","57,069","334,522,768"
"13","26","Up 2 Më","Turban","155,900,631","34,994","289,166,205"
"14","125","AftërLyfe","Nun id change","155,741,694","89,220","288,871,407"
"15","184","Orphan","My wrist","110,518,374","39,528","204,990,695"
"16","94","2 Alivë","Rackz got më (feat. Gunna)","109,226,259","24,950","202,594,066"
"17","205","Trëndi","Mad bout that","104,134,995","30,208","193,150,734"
"18","11","Up 2 Më","Dëserve it","98,060,091","16,917","181,882,935"
"19","23","Up 2 Më","Swërved It","96,366,797","29,663","178,742,195"
"20","262","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","90,726,252","21,627","160,453,731"
"21","62","4L","Off Tha Lot","88,705,444","20,893","164,531,833"
"22","60","4L","Money Twërk","86,056,593","35,898","159,618,715"
"23","28","Up 2 Më","U could tëll","85,411,745","24,396","158,422,644"
"24","130","AftërLyfe","Split","71,187,196","19,147","132,038,794"
"25","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","68,039,424","19,080","126,200,272"
"26","109","Lyfë","Systëm","66,522,695","26,162","123,387,026"
"27","81","2 Alivë","Jus bëtter","66,412,649","18,361","123,182,911"
"28","183","Orphan","bigger thën everything","62,701,359","20,684","116,299,170"
"29","123","AftërLyfe","No morë talk","59,001,663","22,439","109,436,933"
"30","76","2 Alivë","Doublë","57,890,930","17,725","107,376,733"
"31","163","2093","ILUV","56,961,301","61,652","105,652,447"
"32","179","2093","Tell më","56,743,534","47,387","105,248,531"
"33","29","Up 2 Më","Ya Ya","56,209,877","16,169","104,258,698"
"34","230","Features","Yam","55,403,755","17,988","102,763,494"
"35","119","AftërLyfe","How it go","51,094,836","18,558","94,771,263"
"36","77","2 Alivë","Dub","47,249,380","10,829","87,638,669"
"37","211","Rich Minion","Rich Minion","46,925,272","5,627","87,037,510"
"38","98","2 Alivë","Still countin","46,702,355","14,762","86,624,041"
"39","21","Up 2 Më","Rokstar","45,824,346","12,958","84,995,501"
"40","27","Up 2 Më","Twizzy Rich","45,192,370","24,869","83,823,304"
"41","180","2093","U Should Know","44,371,191","29,523","82,300,173"
"42","117","AftërLyfe","Bëttr 0ff","43,004,812","25,794","79,765,798"
"43","107","Lyfë","Krank","41,156,854","20,324","76,338,185"
"44","172","2093","Psycho CEO","40,711,348","23,505","75,511,856"
"45","10","Up 2 Më","Cmon","40,249,832","10,164","74,655,831"
"46","13","Up 2 Më","Got rich","38,360,098","12,783","71,150,731"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","38,227,502","13,603","70,904,791"
"48","17","Up 2 Më","Lying 4 fun","37,905,539","13,135","70,307,610"
"49","203","Trëndi","Fukit","37,212,366","13,032","69,021,905"
"50","121","AftërLyfe","Mysëlf","35,514,700","25,202","65,873,056"
"51","79","2 Alivë","Hatër","33,763,999","9,705","62,625,836"
"52","112","Lyfë","Wat it feel lykë","33,050,730","9,844","61,302,857"
"53","177","2093","Stand On It (with Future)","32,612,035","13,821","60,489,161"
"54","213","King tonka","Heavy stunts (with Don Toliver)","32,477,106","25,936","60,238,893"
"55","206","Trëndi","Tonka 2","32,023,400","6,937","59,397,354"
"56","128","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","30,837,949","6,811","57,198,567"
"57","95","2 Alivë","Rollin","29,988,025","10,895","55,622,118"
"58","89","2 Alivë","Nvr again","29,986,616","13,251","55,619,505"
"59","252","Features","Fuk Tha Clout (feat. Yeat)","29,928,813","8,353","56,554,891"
"60","287","Features","5 2 Üh 60 (feat. Yeat)","29,607,443","7,725","54,916,210"
"61","83","2 Alivë","Kant rëlax","28,835,389","7,453","53,484,196"
"62","111","Lyfë","Up off X","27,626,805","10,998","51,242,501"
"63","215","GEEKED UP","GEEKED UP (FEAT. YEAT)","27,041,381","26,612","52,904,758"
"64","92","2 Alivë","Outsidë (feat. Young Thug)","26,853,250","12,286","49,807,703"
"65","36","Alivë","Diëd B4","26,659,199","9,995","49,447,775"
"66","140","LYFESTYLE","GEEK TIMË","26,074,757","32,591","48,363,746"
"67","167","2093","Morë","24,587,043","14,075","45,604,317"
"68","96","2 Alivë","Rëal six","24,581,134","8,544","45,593,357"
"69","16","Up 2 Më","Kant changë","24,339,809","10,599","45,145,745"
"70","150","LYFESTYLE","ORCHESTRATË","23,170,724","49,726","42,977,313"
"71","99","2 Alivë","Taliban","22,849,111","9,733","42,380,782"
"72","101","Lyfë","Can’t stop it","22,588,276","8,314","41,896,982"
"73","84","2 Alivë","Luh gëek","22,493,603","8,705","41,721,382"
"74","72","2 Alivë","3G (feat. Lil Uzi Vert)","22,455,005","6,565","41,649,790"
"75","127","AftërLyfe","Shhhh","21,976,913","11,533","40,763,019"
"76","78","2 Alivë","Gëek high (feat. Ken Carson)","21,514,130","7,639","39,904,644"
"77","170","2093","Nothing Changë","20,964,608","12,494","38,885,385"
"78","166","2093","Lyfestylë (with Lil Wayne)","20,677,939","9,976","38,353,668"
"79","216","GO AGAIN","GO AGAIN (feat. Superheaven)","20,520,253","25,035","38,061,170"
"80","159","2093","As We Speak (feat. Drake)","20,323,241","10,411","37,695,770"
"81","218","The Bell","The Bell","19,575,373","65,227","36,308,617"
"82","286","Features","Pop Out","19,430,229","3,262","35,529,475"
"83","49","Alivë","WAR 1","19,245,250","6,135","35,696,301"
"84","20","Up 2 Më","Morning mudd","18,911,059","7,817","35,076,440"
"85","171","2093","Power Trip","18,898,334","9,897","35,052,837"
"86","70","4L","Tëslas & Rovers","18,454,884","7,430","34,230,321"
"87","132","AftërLyfe","Type monëy","18,341,831","9,703","34,020,629"
"88","129","AftërLyfe","Slamm","17,772,298","6,108","32,964,253"
"89","34","Alivë","Bäk 2 BED","17,496,553","7,112","32,452,798"
"90","143","LYFESTYLE","GONE 4 A MIN","17,445,936","26,732","32,358,913"
"91","209","No Handoutz","No Handoutz (feat. Yeat)","17,371,341","4,288","33,536,242"
"92","162","2093","Familia","17,196,491","14,151","31,896,240"
"93","134","AftërLyfe","Woa...!","16,958,139","6,095","31,454,142"
"94","82","2 Alivë","Kant dië","16,557,507","11,114","30,711,046"
"95","120","AftërLyfe","Hëavyweight","16,536,713","28,610","30,672,477"
"96","214","King tonka","King tonka","16,482,183","7,288","30,571,334"
"97","22","Up 2 Më","Stayëd tha same","16,402,644","6,526","30,423,804"
"98","131","AftërLyfe","Sum 2 do","15,704,523","6,280","29,128,922"
"99","86","2 Alivë","Luv monëy (with Lancey Foux)","15,648,037","6,010","29,024,151"
"100","97","2 Alivë","Smooktobër","15,599,343","6,511","28,933,832"
"101","126","AftërLyfe","Rav3 p4rty (feat. Kranky Kranky)","15,402,568","4,906","28,568,852"
"102","135","LYFESTYLE","BË QUIET (FEAT. KODAK BLACK)","15,245,701","21,255","28,277,893"
"103","160","2093","Bought The Earth","15,012,340","7,179","27,845,053"
"104","80","2 Alivë","Jump","14,602,998","4,982","27,085,801"
"105","24","Up 2 Më","Told ya","14,535,507","7,041","26,960,618"
"106","104","Lyfë","Got it all","14,366,720","5,128","26,647,550"
"107","116","AftërLyfe","Bad bënd / DëMON","14,353,177","4,757","26,622,430"
"108","87","2 Alivë","Narcoticz (feat. Yung Kayo)","14,277,457","5,565","26,481,984"
"109","57","4L","Goin Back 2 Ella","14,069,951","4,479","26,097,099"
"110","18","Up 2 Më","Lët ya know","13,797,620","5,984","25,591,977"
"111","153","LYFESTYLE","STFU","13,702,374","14,055","25,415,314"
"112","102","Lyfë","Comë on","13,682,255","5,094","25,377,997"
"113","115","AftërLyfe","Back up","13,571,394","4,876","25,172,370"
"114","113","AftërLyfe","7 nightz","13,173,070","4,762","24,433,555"
"115","175","2093","Run Thëy Mouth","13,172,798","8,013","24,433,050"
"116","169","2093","Never quit","12,898,622","6,768","23,924,505"
"117","114","AftërLyfe","Back homë","12,893,730","7,399","23,915,432"
"118","75","2 Alivë","Dnt lië","12,860,897","5,117","23,854,533"
"119","90","2 Alivë","Nëw turban","12,779,591","4,033","23,703,725"
"120","12","Up 2 Më","Factz","12,657,610","6,390","23,477,474"
"121","45","Alivë","Tonka","12,410,303","3,242","23,018,766"
"122","8","Up 2 Më","Bak on ëm","12,210,124","4,523","22,647,472"
"123","106","Lyfë","Killin ëm","12,133,166","5,664","22,504,729"
"124","139","LYFESTYLE","FOREVER AGAIN","11,956,065","14,600","22,176,240"
"125","68","4L","Talk 2 God","11,827,435","4,577","21,937,656"
"126","227","Features","Probably!","11,383,134","3,348","25,097,078"
"127","133","AftërLyfe","Watch","11,070,521","3,618","20,533,724"
"128","61","4L","Mountain Climbërs","11,043,447","4,193","20,483,506"
"129","157","2093","1093","10,986,296","6,582","20,377,502"
"130","105","Lyfë","Holy 1","10,964,568","4,323","20,337,201"
"131","122","AftërLyfe","Mëan feen (feat. Kranky Kranky)","10,895,340","3,687","20,208,796"
"132","51","Alivë","X ta C","10,843,897","3,858","20,113,379"
"133","74","2 Alivë","Call më","10,781,811","4,183","19,998,221"
"134","176","2093","Shade","10,761,867","5,451","19,961,229"
"135","85","2 Alivë","Luh m (feat. SeptembersRich)","10,674,706","3,362","19,799,562"
"136","158","2093","2093","10,631,435","5,026","19,719,302"
"137","178","2093","Team ceo","10,323,466","5,622","19,148,078"
"138","124","AftërLyfe","Now (feat. Luh geeky)","10,311,454","3,277","19,125,798"
"139","168","2093","Mr. Inbetweenit","10,278,770","5,379","19,065,175"
"140","144","LYFESTYLE","HEARD OF MË","10,259,372","17,362","19,029,196"
"141","53","4L","Big Stonëz","10,066,449","4,669","18,671,360"
"142","56","4L","Forëally / 4Ly","10,042,526","3,722","18,626,987"
"143","217","5BRAZY","5BRAZY (FEAT. QUAVO)","10,000,525","10,404","18,549,083"
"144","118","AftërLyfe","Dëmon tied","9,879,658","3,499","18,324,898"
"145","15","Up 2 Më","Hëy","9,860,165","4,311","18,288,742"
"146","266","Features","Cruisin' (feat. Yeat)","9,802,681","5,300","19,324,946"
"147","173","2093","Psychocainë","9,787,732","5,301","18,154,392"
"148","221","Orphan","Cali","9,753,860","0","18,091,566"
"149","41","Alivë","Oh eX whY","9,659,975","3,226","17,917,427"
"150","9","Up 2 Më","Callin më","9,534,166","4,002","17,684,075"
"151","174","2093","Riot & Set it off","9,480,031","4,873","17,583,665"
"152","276","Features","CAN'T B ME (feat. Yeat)","9,422,983","2,165","17,477,852"
"153","165","2093","Keep Pushin","9,410,797","4,800","17,455,249"
"154","263","Features","I Don’t Text Back (feat. Yeat)","9,317,208","3,545","19,664,712"
"155","155","LYFESTYLE","THEY TELL MË","9,239,335","9,661","17,137,220"
"156","253","Features","Not Da Same (feat. Yeat)","8,287,879","2,660","15,661,165"
"157","148","LYFESTYLE","NEW HIGH (FEAT. DON TOLIVER)","8,039,640","9,477","14,912,012"
"158","141","LYFESTYLE","GO2WORK (FEAT. SUMMRS)","8,030,453","9,621","14,894,972"
"159","100","2 Alivë","Way back","7,719,251","4,818","14,317,751"
"160","138","LYFESTYLE","FLYTROOP","7,608,009","10,081","14,111,418"
"161","88","2 Alivë","No commënt","7,384,120","2,622","13,696,147"
"162","204","Trëndi","Insidë out (feat. SeptembersRich)","7,330,444","2,245","13,596,588"
"163","152","LYFESTYLE","SPEEDBALL","7,169,897","7,549","13,298,803"
"164","146","LYFESTYLE","LYFESTYLE (FEAT. LIL DURK)","7,123,970","8,080","13,213,617"
"165","208","YEET","YEET (feat. Yeat)","6,936,131","1,704","12,865,212"
"166","154","LYFESTYLE","THE COSTËS","6,756,200","7,528","12,531,474"
"167","156","LYFESTYLE","U DONT KNOW LYFE","6,563,896","7,101","12,174,786"
"168","280","Features","Appear","6,505,853","1,509","12,067,127"
"169","149","LYFESTYLE","ON 1","6,385,857","7,572","11,844,557"
"170","137","LYFESTYLE","FATË (BONUS)","6,385,250","9,632","11,843,431"
"171","71","4L","WTF","6,238,413","2,708","11,571,077"
"172","151","LYFESTYLE","SO WHAT","5,927,052","7,005","10,993,561"
"173","225","Features","Work (feat. Yeat)","5,683,332","10,532","9,273,578"
"174","281","Features","Met Tha Devil (feat. Yeat)","5,658,575","2,260","10,495,587"
