"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","255","Features","IDGAF (feat. Yeat)","566,809,091","243,529","1,108,347,565"
"2","19","Up 2 Më","Monëy so big","469,026,840","141,313","869,956,142"
"3","108","Lyfë","Out thë way","454,637,533","159,364","843,266,697"
"4","141","2093","If We Being Rëal","359,428,835","258,539","666,672,556"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","309,372,907","100,129","573,828,271"
"6","110","Lyfë","Talk","306,898,384","88,866","569,238,498"
"7","66","4L","Sorry Bout That","258,345,250","70,813","479,181,611"
"8","138","2093","Breathe","242,426,909","117,252","449,656,097"
"9","91","2 Alivë","On tha linë","214,303,546","76,926","397,492,574"
"10","14","Up 2 Më","Gët Busy","195,954,655","58,870","363,458,849"
"11","184","Orphan","Already Rich","186,059,202","58,680","345,104,654"
"12","93","2 Alivë","Poppin","184,876,952","53,792","342,911,804"
"13","125","AftërLyfe","Nun id change","164,817,170","93,579","305,704,699"
"14","26","Up 2 Më","Turban","159,386,257","40,839","295,631,382"
"15","182","Orphan","My wrist","114,414,871","40,910","212,217,961"
"16","94","2 Alivë","Rackz got më (feat. Gunna)","111,672,523","25,898","207,131,424"
"17","207","Trëndi","Mad bout that","107,255,901","39,697","198,939,424"
"18","11","Up 2 Më","Dëserve it","99,804,816","19,051","185,119,070"
"19","23","Up 2 Më","Swërved It","99,500,273","38,913","184,554,200"
"20","273","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","92,701,382","20,375","163,946,843"
"21","62","4L","Off Tha Lot","91,070,502","28,968","168,918,568"
"22","60","4L","Money Twërk","89,587,173","44,551","166,167,273"
"23","28","Up 2 Më","U could tëll","88,073,558","35,978","163,359,804"
"24","130","AftërLyfe","Split","72,881,841","18,504","135,182,040"
"25","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","70,004,819","23,946","129,845,708"
"26","109","Lyfë","Systëm","69,234,450","33,334","128,416,819"
"27","81","2 Alivë","Jus bëtter","68,430,826","27,693","126,926,248"
"28","183","Orphan","bigger thën everything","64,961,690","25,642","120,491,657"
"29","140","2093","ILUV","62,655,853","58,014","116,214,765"
"30","123","AftërLyfe","No morë talk","61,382,525","28,186","113,852,982"
"31","155","2093","Tell më","61,148,547","52,677","113,418,997"
"32","76","2 Alivë","Doublë","59,638,553","23,420","110,618,244"
"33","222","DANGEROUS SUMMER","COMË N GO","58,240,026","1,103,416","108,024,240"
"34","29","Up 2 Më","Ya Ya","57,747,989","18,125","107,111,605"
"35","242","Features","Yam","57,167,670","20,811","106,035,223"
"36","119","AftërLyfe","How it go","52,655,495","17,725","97,665,991"
"37","77","2 Alivë","Dub","48,398,400","13,509","89,769,884"
"38","98","2 Alivë","Still countin","48,138,689","16,933","89,288,169"
"39","27","Up 2 Më","Twizzy Rich","47,889,520","34,206","88,826,008"
"40","156","2093","U Should Know","47,513,463","38,877","88,128,493"
"41","213","Rich Minion","Rich Minion","47,454,358","6,137","88,018,865"
"42","21","Up 2 Më","Rokstar","47,403,758","20,030","87,925,011"
"43","117","AftërLyfe","Bëttr 0ff","45,278,213","26,423","83,982,527"
"44","107","Lyfë","Krank","43,736,535","27,516","81,123,006"
"45","148","2093","Psycho CEO","43,037,319","25,077","79,826,092"
"46","10","Up 2 Më","Cmon","41,384,287","13,741","76,760,030"
