"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","241","Features","IDGAF (feat. Yeat)","537,694,958","222,677","1,051,417,323"
"2","19","Up 2 Më","Monëy so big","452,823,127","136,499","839,901,317"
"3","108","Lyfë","Out thë way","436,149,066","155,255","808,974,085"
"4","142","2093","If We Being Rëal","325,771,997","310,155","604,245,483"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","296,919,742","108,301","550,730,003"
"6","110","Lyfë","Talk","295,501,954","102,904","548,100,274"
"7","44","4L","Sorry Bout That","248,665,764","83,466","461,227,994"
"8","139","2093","Breathe","227,469,976","143,203","421,913,813"
"9","91","2 Alivë","On tha linë","205,926,632","72,678","381,954,982"
"10","14","Up 2 Më","Gët Busy","188,421,230","55,960","349,485,770"
"11","93","2 Alivë","Poppin","178,869,097","51,884","331,768,368"
"12","181","Orphan","Already Rich","178,391,217","70,879","330,881,991"
"13","26","Up 2 Më","Turban","154,773,394","40,380","287,075,393"
"14","125","AftërLyfe","Nun id change","153,108,332","93,290","283,987,018"
"15","184","Orphan","My wrist","109,182,378","46,859","202,512,675"
"16","94","2 Alivë","Rackz got më (feat. Gunna)","108,423,048","26,618","201,104,262"
"17","205","Trëndi","Mad bout that","103,201,732","30,828","191,419,707"
"18","11","Up 2 Më","Dëserve it","97,492,237","20,534","180,829,673"
"19","23","Up 2 Më","Swërved It","95,413,252","33,720","176,973,549"
"20","261","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","90,042,040","23,640","159,243,669"
"21","40","4L","Off Tha Lot","88,030,266","23,785","163,279,505"
"22","38","4L","Money Twërk","85,088,447","28,861","157,822,987"
"23","28","Up 2 Më","U could tëll","84,686,215","26,965","157,076,923"
"24","130","AftërLyfe","Split","70,600,058","22,306","130,949,764"
"25","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","67,453,298","21,086","125,113,119"
"26","81","2 Alivë","Jus bëtter","65,831,262","21,180","122,104,548"
"27","109","Lyfë","Systëm","65,760,676","26,543","121,973,625"
"28","183","Orphan","bigger thën everything","62,031,148","24,840","115,056,055"
"29","123","AftërLyfe","No morë talk","58,279,197","25,803","108,096,895"
"30","76","2 Alivë","Doublë","57,402,476","15,947","106,470,743"
"31","29","Up 2 Më","Ya Ya","55,732,613","17,852","103,373,463"
"32","157","2093","Tell më","55,233,892","56,897","102,448,430"
"33","141","2093","ILUV","54,979,080","71,888","101,975,802"
"34","229","Features","Yam","54,766,511","21,746","101,581,527"
"35","119","AftërLyfe","How it go","50,612,862","17,690","93,877,293"
"36","77","2 Alivë","Dub","46,895,805","11,908","86,982,854"
"37","210","Rich Minion","Rich Minion","46,739,301","6,127","86,692,569"
"38","98","2 Alivë","Still countin","46,205,942","17,537","85,703,289"
"39","21","Up 2 Më","Rokstar","45,400,998","15,593","84,210,270"
"40","27","Up 2 Më","Twizzy Rich","44,575,247","18,760","82,678,658"
"41","158","2093","U Should Know","43,401,392","36,419","80,501,379"
"42","117","AftërLyfe","Bëttr 0ff","42,284,077","23,059","78,428,971"
"43","107","Lyfë","Krank","40,558,401","22,289","75,228,168"
"44","150","2093","Psycho CEO","39,959,884","26,573","74,118,032"
"45","10","Up 2 Më","Cmon","39,942,615","10,431","74,086,001"
"46","13","Up 2 Më","Got rich","37,967,793","15,124","70,423,080"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","37,816,685","13,839","70,142,803"
"48","17","Up 2 Më","Lying 4 fun","37,525,202","13,680","69,602,157"
"49","203","Trëndi","Fukit","36,781,752","14,029","68,223,198"
"50","121","AftërLyfe","Mysëlf","34,709,830","28,046","64,380,174"
"51","79","2 Alivë","Hatër","33,456,173","10,496","62,054,877"
"52","112","Lyfë","Wat it feel lykë","32,754,270","10,261","60,752,980"
"53","155","2093","Stand On It (with Future)","32,146,798","17,072","59,626,234"
"54","206","Trëndi","Tonka 2","31,827,451","6,387","59,033,906"
"55","212","King tonka","Heavy stunts (with Don Toliver)","31,678,338","28,585","58,757,329"
"56","128","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","30,623,722","7,490","56,801,216"
"57","95","2 Alivë","Rollin","29,652,541","11,713","54,999,859"
"58","251","Features","Fuk Tha Clout (feat. Yeat)","29,647,849","10,109","56,023,968"
"59","89","2 Alivë","Nvr again","29,604,323","12,694","54,910,423"
"60","285","Features","5 2 Üh 60 (feat. Yeat)","29,363,033","8,600","54,462,876"
"61","83","2 Alivë","Kant rëlax","28,586,273","8,407","53,022,133"
"62","111","Lyfë","Up off X","27,276,265","12,141","50,592,316"
"63","92","2 Alivë","Outsidë (feat. Young Thug)","26,549,502","11,042","49,244,308"
"64","56","Alivë","Diëd B4","26,361,449","11,678","48,895,505"
"65","214","GEEKED UP","GEEKED UP (FEAT. YEAT)","26,156,074","34,615","51,172,710"
"66","164","LYFESTYLE","GEEK TIMË","24,990,597","41,067","46,352,834"
"67","96","2 Alivë","Rëal six","24,302,841","9,423","45,077,176"
"68","145","2093","Morë","24,145,574","15,935","44,785,476"
"69","16","Up 2 Më","Kant changë","24,027,825","10,968","44,567,074"
"70","99","2 Alivë","Taliban","22,583,804","8,512","41,888,688"
"71","101","Lyfë","Can’t stop it","22,337,842","8,956","41,432,475"
"72","72","2 Alivë","3G (feat. Lil Uzi Vert)","22,248,196","8,022","41,266,198"
"73","84","2 Alivë","Luh gëek","22,221,174","9,188","41,216,077"
"74","174","LYFESTYLE","ORCHESTRATË","21,684,486","52,673","40,220,623"
"75","127","AftërLyfe","Shhhh","21,680,508","11,142","40,213,244"
"76","78","2 Alivë","Gëek high (feat. Ken Carson)","21,252,764","10,122","39,419,860"
"77","148","2093","Nothing Changë","20,587,350","13,632","38,185,643"
"78","144","2093","Lyfestylë (with Lil Wayne)","20,362,410","11,629","37,768,422"
"79","137","2093","As We Speak (feat. Drake)","19,984,158","10,960","37,066,836"
"80","215","GO AGAIN","GO AGAIN (feat. Superheaven)","19,761,726","26,773","36,654,266"
"81","284","Features","Pop Out","19,323,794","3,844","35,334,852"
"82","69","Alivë","WAR 1","19,074,471","5,952","35,379,538"
"83","20","Up 2 Më","Morning mudd","18,673,319","8,121","34,635,477"
"84","149","2093","Power Trip","18,602,249","10,763","34,503,656"
"85","48","4L","Tëslas & Rovers","18,227,812","7,361","33,809,146"
"86","132","AftërLyfe","Type monëy","18,054,279","10,025","33,487,275"
"87","129","AftërLyfe","Slamm","17,588,255","6,670","32,622,888"
"88","54","Alivë","Bäk 2 BED","17,294,693","7,470","32,078,386"
"89","208","No Handoutz","No Handoutz (feat. Yeat)","17,223,586","5,989","33,250,993"
"90","217","The Bell","The Bell","17,157,702","94,843","31,824,294"
"91","140","2093","Familia","16,842,424","11,157","31,239,513"
"92","134","AftërLyfe","Woa...!","16,772,545","6,375","31,109,900"
"93","167","LYFESTYLE","GONE 4 A MIN","16,557,349","33,940","30,710,753"
"94","213","King tonka","King tonka","16,242,023","8,801","30,125,882"
"95","82","2 Alivë","Kant dië","16,207,286","10,324","30,061,452"
"96","22","Up 2 Më","Stayëd tha same","16,189,397","7,415","30,028,271"
"97","120","AftërLyfe","Hëavyweight","15,682,419","30,560","29,087,923"
"98","131","AftërLyfe","Sum 2 do","15,516,859","6,696","28,780,840"
"99","86","2 Alivë","Luv monëy (with Lancey Foux)","15,469,655","6,237","28,693,286"
"100","97","2 Alivë","Smooktobër","15,402,280","7,736","28,568,318"
"101","126","AftërLyfe","Rav3 p4rty (feat. Kranky Kranky)","15,249,102","5,833","28,284,202"
"102","138","2093","Bought The Earth","14,779,204","8,373","27,412,630"
"103","159","LYFESTYLE","BË QUIET (FEAT. KODAK BLACK)","14,561,484","24,122","27,008,800"
"104","80","2 Alivë","Jump","14,451,998","5,209","26,805,724"
"105","24","Up 2 Më","Told ya","14,325,693","6,953","26,571,452"
"106","104","Lyfë","Got it all","14,206,310","6,095","26,350,020"
"107","116","AftërLyfe","Bad bënd / DëMON","14,195,558","5,630","26,330,077"
"108","87","2 Alivë","Narcoticz (feat. Yung Kayo)","14,113,985","5,835","26,178,774"
"109","35","4L","Goin Back 2 Ella","13,914,603","5,295","25,808,958"
"110","18","Up 2 Më","Lët ya know","13,611,487","5,994","25,246,735"
"111","102","Lyfë","Comë on","13,516,604","6,129","25,070,745"
"112","115","AftërLyfe","Back up","13,418,757","5,735","24,889,258"
"113","177","LYFESTYLE","STFU","13,252,106","16,295","24,580,151"
"114","113","AftërLyfe","7 nightz","13,020,204","5,981","24,150,017"
"115","153","2093","Run Thëy Mouth","12,940,333","8,741","24,001,871"
"116","75","2 Alivë","Dnt lië","12,702,715","5,394","23,561,135"
"117","114","AftërLyfe","Back homë","12,670,518","6,922","23,501,416"
"118","90","2 Alivë","Nëw turban","12,658,286","3,982","23,478,728"
"119","147","2093","Never quit","12,656,592","9,312","23,475,586"
"120","12","Up 2 Më","Factz","12,477,921","6,423","23,144,185"
"121","65","Alivë","Tonka","12,308,589","3,629","22,830,106"
"122","8","Up 2 Më","Bak on ëm","12,063,260","4,769","22,375,067"
"123","106","Lyfë","Killin ëm","11,984,296","5,088","22,228,604"
"124","46","4L","Talk 2 God","11,678,934","5,480","21,662,215"
"125","163","LYFESTYLE","FOREVER AGAIN","11,476,297","16,775","21,286,361"
"126","226","Features","Probably!","11,265,347","3,538","24,837,386"
"127","133","AftërLyfe","Watch","10,954,793","4,193","20,319,070"
