"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","266","Features","IDGAF (feat. Yeat)","581,465,082","213,743","1,137,012,520"
"2","19","Up 2 Më","Monëy so big","478,700,177","147,212","887,897,875"
"3","108","Lyfë","Out thë way","465,353,658","174,209","863,142,618"
"4","164","2093","If We Being Rëal","375,706,433","234,360","696,864,048"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","316,821,834","114,535","587,644,305"
"6","110","Lyfë","Talk","312,285,270","85,381","579,229,841"
"7","66","4L","Sorry Bout That","263,485,495","80,040","488,715,530"
"8","161","2093","Breathe","250,397,018","117,984","464,438,892"
"9","91","2 Alivë","On tha linë","219,395,890","87,974","406,937,690"
"10","14","Up 2 Më","Gët Busy","200,436,306","72,929","371,771,264"
"11","187","Orphan","Already Rich","190,102,716","62,002","352,604,418"
"12","93","2 Alivë","Poppin","188,267,444","49,549","349,200,337"
"13","126","AftërLyfe","Nun id change","171,544,088","98,647","318,181,689"
"14","26","Up 2 Më","Turban","162,230,904","41,576","300,907,503"
"15","228","DANGEROUS SUMMER","COMË N GO","126,163,387","879,928","234,009,111"
"16","185","Orphan","My wrist","116,975,693","37,152","216,967,685"
"17","94","2 Alivë","Rackz got më (feat. Gunna)","113,484,350","27,991","210,491,907"
"18","212","Trëndi","Mad bout that","109,911,832","35,599","203,865,565"
"19","23","Up 2 Më","Swërved It","102,138,014","32,674","189,446,609"
"20","11","Up 2 Më","Dëserve it","101,143,856","21,705","187,602,635"
"21","260","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","94,393,002","27,983","166,938,554"
"22","62","4L","Off Tha Lot","93,073,699","28,859","172,634,027"
"23","60","4L","Money Twërk","92,155,292","35,035","170,930,557"
"24","28","Up 2 Më","U could tëll","90,183,806","31,004","167,273,825"
"25","131","AftërLyfe","Split","74,401,560","24,727","138,000,757"
"26","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","71,622,602","25,306","132,846,318"
"27","109","Lyfë","Systëm","71,555,194","32,700","132,721,289"
"28","81","2 Alivë","Jus bëtter","70,177,759","25,615","130,166,409"
"29","163","2093","ILUV","66,503,146","55,873","123,350,700"
"30","186","Orphan","bigger thën everything","66,468,938","22,558","123,287,250"
"31","178","2093","Tell më","64,223,835","42,140","119,123,011"
"32","124","AftërLyfe","No morë talk","63,190,629","26,786","117,206,610"
"33","76","2 Alivë","Doublë","61,202,514","25,620","113,519,034"
"34","29","Up 2 Më","Ya Ya","59,011,413","18,081","109,454,958"
"35","270","Features","Yam","58,567,030","21,525","108,630,712"
"36","120","AftërLyfe","How it go","53,945,142","19,798","100,057,988"
"37","27","Up 2 Më","Twizzy Rich","49,968,181","29,126","92,681,481"
"38","179","2093","U Should Know","49,929,546","33,107","92,609,821"
"39","77","2 Alivë","Dub","49,348,047","14,484","91,531,251"
"40","98","2 Alivë","Still countin","49,303,149","17,159","91,447,973"
"41","21","Up 2 Më","Rokstar","48,715,363","18,151","90,357,742"
"42","217","Rich Minion","Rich Minion","47,828,652","5,656","88,713,062"
"43","118","AftërLyfe","Bëttr 0ff","47,215,868","31,144","87,576,464"
