"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","241","Features","IDGAF (feat. Yeat)","541,829,001","218,349","1,059,501,097"
"2","19","Up 2 Më","Monëy so big","455,436,544","136,995","844,748,711"
"3","108","Lyfë","Out thë way","438,998,234","155,775","814,258,753"
"4","164","2093","If We Being Rëal","331,378,262","290,775","614,644,045"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","298,973,211","111,823","554,538,800"
"6","110","Lyfë","Talk","297,400,595","96,830","551,621,895"
"7","66","4L","Sorry Bout That","250,284,338","84,349","464,230,143"
"8","161","2093","Breathe","229,994,305","133,963","426,595,966"
"9","91","2 Alivë","On tha linë","207,202,621","72,840","384,321,700"
"10","14","Up 2 Më","Gët Busy","189,498,815","57,108","351,484,486"
"11","93","2 Alivë","Poppin","179,862,682","51,760","333,611,281"
"12","181","Orphan","Already Rich","179,696,677","69,749","333,303,373"
"13","26","Up 2 Më","Turban","155,528,189","37,983","288,475,395"
"14","125","AftërLyfe","Nun id change","154,828,044","84,735","287,176,759"
"15","184","Orphan","My wrist","110,085,202","47,825","204,187,243"
"16","94","2 Alivë","Rackz got më (feat. Gunna)","108,952,116","26,987","202,085,583"
"17","205","Trëndi","Mad bout that","103,792,010","29,162","192,514,561"
"18","11","Up 2 Më","Dëserve it","97,871,038","19,017","181,532,277"
"19","23","Up 2 Më","Swërved It","96,043,021","34,937","178,141,651"
"20","261","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","90,497,155","23,301","160,048,562"
"21","62","4L","Off Tha Lot","88,475,093","22,343","164,104,575"
"22","60","4L","Money Twërk","85,672,142","35,414","158,905,631"
"23","28","Up 2 Më","U could tëll","85,158,152","23,508","157,952,277"
"24","130","AftërLyfe","Split","70,991,424","21,109","131,675,674"
"25","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","67,842,147","19,765","125,834,360"
"26","109","Lyfë","Systëm","66,247,812","23,756","122,877,170"
"27","81","2 Alivë","Jus bëtter","66,213,511","20,634","122,813,548"
"28","183","Orphan","bigger thën everything","62,475,816","22,809","115,880,830"
"29","123","AftërLyfe","No morë talk","58,745,896","26,340","108,962,534"
"30","76","2 Alivë","Doublë","57,714,545","15,693","107,049,572"
"31","163","2093","ILUV","56,296,117","71,007","104,418,657"
"32","179","2093","Tell më","56,233,279","51,359","104,302,104"
"33","29","Up 2 Më","Ya Ya","56,047,288","17,048","103,957,126"
"34","229","Features","Yam","55,187,460","20,322","102,362,307"
"35","119","AftërLyfe","How it go","50,926,312","15,997","94,458,683"
"36","77","2 Alivë","Dub","47,132,237","13,338","87,421,391"
"37","211","Rich Minion","Rich Minion","46,863,651","6,612","86,923,215"
"38","98","2 Alivë","Still countin","46,544,187","17,346","86,330,670"
"39","21","Up 2 Më","Rokstar","45,683,008","15,043","84,733,345"
"40","27","Up 2 Më","Twizzy Rich","44,948,176","21,331","83,370,371"
"41","180","2093","U Should Know","44,054,559","33,377","81,712,880"
"42","117","AftërLyfe","Bëttr 0ff","42,745,027","23,266","79,283,946"
"43","107","Lyfë","Krank","40,941,889","21,048","75,939,466"
"44","172","2093","Psycho CEO","40,459,464","27,052","75,044,658"
"45","10","Up 2 Më","Cmon","40,144,661","10,498","74,460,758"
"46","13","Up 2 Më","Got rich","38,216,658","13,351","70,884,677"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","38,082,049","12,918","70,635,003"
"48","17","Up 2 Më","Lying 4 fun","37,772,915","12,854","70,061,618"
"49","203","Trëndi","Fukit","37,071,823","14,951","68,761,225"
"50","121","AftërLyfe","Mysëlf","35,248,517","29,454","65,379,337"
"51","79","2 Alivë","Hatër","33,657,507","10,606","62,428,314"
"52","112","Lyfë","Wat it feel lykë","32,948,411","9,947","61,113,075"
"53","177","2093","Stand On It (with Future)","32,461,028","16,232","60,209,071"
"54","213","King tonka","Heavy stunts (with Don Toliver)","32,227,486","27,332","59,775,895"
"55","206","Trëndi","Tonka 2","31,954,357","6,644","59,269,292"
"56","128","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","30,767,545","7,461","57,067,980"
"57","95","2 Alivë","Rollin","29,876,432","11,817","55,415,134"
"58","89","2 Alivë","Nvr again","29,855,495","13,263","55,376,300"
"59","251","Features","Fuk Tha Clout (feat. Yeat)","29,830,025","8,908","56,368,217"
"60","285","Features","5 2 Üh 60 (feat. Yeat)","29,524,601","8,210","54,762,554"
"61","83","2 Alivë","Kant rëlax","28,754,155","8,071","53,333,522"
"62","111","Lyfë","Up off X","27,507,928","12,462","51,022,007"
"63","92","2 Alivë","Outsidë (feat. Young Thug)","26,747,684","10,536","49,611,898"
"64","215","GEEKED UP","GEEKED UP (FEAT. YEAT)","26,746,780","32,586","52,328,390"
"65","36","Alivë","Diëd B4","26,558,404","10,420","49,260,819"
"66","140","LYFESTYLE","GEEK TIMË","25,723,819","37,253","47,712,822"
"67","96","2 Alivë","Rëal six","24,486,044","10,066","45,416,983"
"68","167","2093","Morë","24,440,399","14,586","45,332,320"
"69","16","Up 2 Më","Kant changë","24,227,135","13,540","44,936,756"
"70","99","2 Alivë","Taliban","22,751,005","8,451","42,198,814"
"71","150","LYFESTYLE","ORCHESTRATË","22,676,521","48,373","42,060,660"
"72","101","Lyfë","Can’t stop it","22,504,091","8,272","41,740,835"
"73","84","2 Alivë","Luh gëek","22,403,337","9,380","41,553,955"
"74","72","2 Alivë","3G (feat. Lil Uzi Vert)","22,384,560","6,689","41,519,128"
"75","127","AftërLyfe","Shhhh","21,872,902","10,420","40,570,099"
"76","78","2 Alivë","Gëek high (feat. Ken Carson)","21,426,992","8,622","39,743,020"
"77","170","2093","Nothing Changë","20,838,934","13,666","38,652,284"
"78","166","2093","Lyfestylë (with Lil Wayne)","20,574,420","11,116","38,161,660"
"79","216","GO AGAIN","GO AGAIN (feat. Superheaven)","20,256,852","25,687","37,572,631"
"80","159","2093","As We Speak (feat. Drake)","20,209,469","12,289","37,484,745"
"81","284","Features","Pop Out","19,395,612","3,533","35,466,176"
"82","49","Alivë","WAR 1","19,187,196","5,657","35,588,622"
"83","218","The Bell","The Bell","18,855,682","85,202","34,973,726"
"84","20","Up 2 Më","Morning mudd","18,826,511","7,765","34,919,619"
"85","171","2093","Power Trip","18,797,522","9,997","34,865,850"
"86","70","4L","Tëslas & Rovers","18,369,857","7,697","34,072,612"
"87","132","AftërLyfe","Type monëy","18,243,464","9,688","33,838,177"
"88","129","AftërLyfe","Slamm","17,711,515","6,359","32,851,512"
"89","34","Alivë","Bäk 2 BED","17,425,477","6,670","32,320,966"
"90","209","No Handoutz","No Handoutz (feat. Yeat)","17,325,384","4,836","33,447,520"
"91","143","LYFESTYLE","GONE 4 A MIN","17,157,792","31,126","31,824,461"
"92","162","2093","Familia","17,061,831","12,071","31,646,471"
"93","134","AftërLyfe","Woa...!","16,896,595","6,439","31,339,990"
"94","82","2 Alivë","Kant dië","16,429,472","12,447","30,473,565"
"95","214","King tonka","King tonka","16,404,712","7,825","30,427,640"
"96","22","Up 2 Më","Stayëd tha same","16,327,672","7,738","30,284,745"
"97","120","AftërLyfe","Hëavyweight","16,248,976","28,925","30,138,779"
"98","131","AftërLyfe","Sum 2 do","15,641,089","7,984","29,011,263"
"99","86","2 Alivë","Luv monëy (with Lancey Foux)","15,589,293","6,479","28,915,192"
"100","97","2 Alivë","Smooktobër","15,533,002","6,553","28,810,782"
"101","126","AftërLyfe","Rav3 p4rty (feat. Kranky Kranky)","15,352,488","5,385","28,475,963"
"102","135","LYFESTYLE","BË QUIET (FEAT. KODAK BLACK)","15,008,313","22,666","27,837,584"
"103","160","2093","Bought The Earth","14,933,584","7,953","27,698,975"
"104","80","2 Alivë","Jump","14,552,954","5,129","26,992,979"
"105","24","Up 2 Më","Told ya","14,464,715","6,910","26,829,312"
"106","104","Lyfë","Got it all","14,313,361","5,469","26,548,579"
"107","116","AftërLyfe","Bad bënd / DëMON","14,301,764","5,422","26,527,069"
"108","87","2 Alivë","Narcoticz (feat. Yung Kayo)","14,220,355","5,387","26,376,070"
"109","57","4L","Goin Back 2 Ella","14,018,670","5,469","26,001,983"
"110","18","Up 2 Më","Lët ya know","13,734,168","6,631","25,474,285"
"111","102","Lyfë","Comë on","13,627,539","6,082","25,276,509"
"112","153","LYFESTYLE","STFU","13,555,948","15,401","25,143,721"
"113","115","AftërLyfe","Back up","13,521,500","5,235","25,079,826"
"114","113","AftërLyfe","7 nightz","13,123,349","5,236","24,341,332"
"115","175","2093","Run Thëy Mouth","13,093,112","7,971","24,285,248"
"116","169","2093","Never quit","12,821,959","7,615","23,782,310"
"117","114","AftërLyfe","Back homë","12,817,596","8,498","23,774,218"
"118","75","2 Alivë","Dnt lië","12,809,112","5,843","23,758,481"
"119","90","2 Alivë","Nëw turban","12,739,005","3,899","23,628,446"
"120","12","Up 2 Më","Factz","12,596,514","6,674","23,364,152"
"121","45","Alivë","Tonka","12,375,592","3,667","22,954,384"
"122","8","Up 2 Më","Bak on ëm","12,162,082","5,129","22,558,363"
"123","106","Lyfë","Killin ëm","12,079,788","4,794","22,405,723"
"124","139","LYFESTYLE","FOREVER AGAIN","11,798,968","17,701","21,884,855"
"125","68","4L","Talk 2 God","11,777,458","5,563","21,844,958"
"126","226","Features","Probably!","11,343,198","4,352","25,009,029"
"127","133","AftërLyfe","Watch","11,032,398","4,246","20,463,013"
"128","61","4L","Mountain Climbërs","11,000,414","4,526","20,403,688"
"129","105","Lyfë","Holy 1","10,918,770","4,817","20,252,254"
"130","157","2093","1093","10,915,648","6,953","20,246,463"
"131","122","AftërLyfe","Mëan feen (feat. Kranky Kranky)","10,855,393","4,378","20,134,702"
"132","51","Alivë","X ta C","10,804,447","3,887","20,040,207"
"133","74","2 Alivë","Call më","10,738,503","4,427","19,917,893"
"134","176","2093","Shade","10,703,513","6,076","19,852,993"
"135","85","2 Alivë","Luh m (feat. SeptembersRich)","10,637,779","3,592","19,731,069"
"136","158","2093","2093","10,577,684","5,516","19,619,604"
"137","124","AftërLyfe","Now (feat. Luh geeky)","10,277,484","3,296","19,062,790"
"138","178","2093","Team ceo","10,264,981","6,317","19,039,599"
