"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","256","Features","IDGAF (feat. Yeat)","568,309,066","228,050","1,111,280,640"
"2","19","Up 2 Më","Monëy so big","469,932,606","138,331","871,636,166"
"3","108","Lyfë","Out thë way","455,617,192","152,693","845,083,779"
"4","141","2093","If We Being Rëal","360,980,116","230,449","669,549,889"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","310,056,471","106,772","575,096,153"
"6","110","Lyfë","Talk","307,442,825","84,280","570,248,333"
"7","66","4L","Sorry Bout That","258,835,061","71,317","480,090,118"
"8","138","2093","Breathe","243,197,970","118,868","451,086,269"
"9","91","2 Alivë","On tha linë","214,777,360","75,217","398,371,409"
"10","14","Up 2 Më","Gët Busy","196,400,898","65,054","364,286,546"
"11","184","Orphan","Already Rich","186,457,443","59,379","345,843,316"
"12","93","2 Alivë","Poppin","185,207,376","50,048","343,524,678"
"13","125","AftërLyfe","Nun id change","165,437,284","96,173","306,854,894"
"14","26","Up 2 Më","Turban","159,651,312","40,586","296,123,009"
"15","182","Orphan","My wrist","114,682,285","42,032","212,713,963"
"16","94","2 Alivë","Rackz got më (feat. Gunna)","111,847,931","28,265","207,456,772"
"17","207","Trëndi","Mad bout that","107,517,159","41,233","199,424,009"
"18","11","Up 2 Më","Dëserve it","99,945,207","20,964","185,379,469"
"19","23","Up 2 Më","Swërved It","99,763,736","45,200","185,042,874"
"20","275","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","92,864,930","25,356","164,236,086"
"21","62","4L","Off Tha Lot","91,265,312","30,688","169,279,904"
"22","60","4L","Money Twërk","89,863,066","40,310","166,679,003"
"23","28","Up 2 Më","U could tëll","88,296,291","33,229","163,772,931"
"24","130","AftërLyfe","Split","73,009,304","19,832","135,418,460"
"25","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","70,156,962","22,959","130,127,904"
"26","109","Lyfë","Systëm","69,456,550","34,578","128,828,772"
"27","81","2 Alivë","Jus bëtter","68,606,669","28,562","127,252,404"
"28","223","DANGEROUS SUMMER","COMË N GO","65,603,958","1,154,699","121,682,942"
"29","183","Orphan","bigger thën everything","65,127,061","26,205","120,798,389"
"30","140","2093","ILUV","63,045,584","64,363","116,937,642"
"31","123","AftërLyfe","No morë talk","61,561,710","28,621","114,185,336"
"32","155","2093","Tell më","61,466,547","47,423","114,008,827"
"33","76","2 Alivë","Doublë","59,794,651","22,828","110,907,776"
"34","29","Up 2 Më","Ya Ya","57,867,918","17,515","107,334,050"
"35","243","Features","Yam","57,313,735","23,703","106,306,146"
"36","119","AftërLyfe","How it go","52,781,890","19,943","97,900,430"
"37","77","2 Alivë","Dub","48,490,150","13,946","89,940,063"
"38","98","2 Alivë","Still countin","48,251,502","15,997","89,497,416"
"39","27","Up 2 Më","Twizzy Rich","48,091,940","29,689","89,201,459"
"40","156","2093","U Should Know","47,753,488","37,076","88,573,694"
"41","21","Up 2 Më","Rokstar","47,532,947","21,532","88,164,632"
"42","213","Rich Minion","Rich Minion","47,493,775","6,102","88,091,976"
"43","117","AftërLyfe","Bëttr 0ff","45,448,386","24,024","84,298,166"
"44","107","Lyfë","Krank","43,908,563","25,684","81,442,085"
"45","148","2093","Psycho CEO","43,202,591","24,282","80,132,641"
"46","10","Up 2 Më","Cmon","41,473,326","12,003","76,925,181"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","39,776,944","16,429","73,778,713"
"48","13","Up 2 Më","Got rich","39,733,598","16,845","73,698,314"
"49","17","Up 2 Më","Lying 4 fun","39,463,849","15,836","73,197,981"
"50","121","AftërLyfe","Mysëlf","38,743,782","35,342","71,862,393"
"51","205","Trëndi","Fukit","38,647,740","15,053","71,684,253"
"52","186","Orphan","Heavy stunts","34,955,616","26,023","64,836,061"
"53","79","2 Alivë","Hatër","34,914,580","12,873","64,759,947"
"54","112","Lyfë","Wat it feel lykë","34,337,598","12,957","63,689,754"
"55","153","2093","Stand On It (with Future)","34,134,632","15,153","63,313,290"
"56","208","Trëndi","Tonka 2","32,756,905","7,289","60,757,867"
"57","128","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","31,577,208","8,128","58,569,752"
"58","89","2 Alivë","Nvr again","31,405,269","16,301","58,250,838"
"59","95","2 Alivë","Rollin","31,332,592","19,905","58,116,036"
"60","265","Features","Fuk Tha Clout (feat. Yeat)","30,923,035","9,192","58,433,620"
"61","300","Features","5 2 Üh 60 (feat. Yeat)","30,530,673","9,628","56,628,628"
"62","216","GEEKED UP","GEEKED UP (FEAT. YEAT)","29,954,068","30,471","58,603,246"
"63","83","2 Alivë","Kant rëlax","29,814,088","10,545","55,299,498"
"64","172","LYFESTYLE","ORCHESTRATË","29,521,431","106,786","54,756,674"
"65","162","LYFESTYLE","GEEK TIMË","29,431,613","41,817","54,590,079"
"66","111","Lyfë","Up off X","29,050,297","15,609","53,882,810"
"67","92","2 Alivë","Outsidë (feat. Young Thug)","27,997,289","12,073","51,929,679"
"68","36","Alivë","Diëd B4","27,794,344","13,870","51,553,254"
"69","144","2093","Morë","26,094,358","15,573","48,400,102"
"70","232","DOG HOUSE","DOG HOUSE (feat. Julia Wolf & Yeat)","25,899,709","175,986","50,644,705"
"71","96","2 Alivë","Rëal six","25,559,680","10,600","47,408,375"
"72","16","Up 2 Më","Kant changë","25,493,364","11,491","47,285,371"
"73","219","The Bell","The Bell","24,050,962","34,108","44,609,988"
"74","99","2 Alivë","Taliban","23,820,793","9,661","44,183,068"
"75","84","2 Alivë","Luh gëek","23,732,162","11,447","44,018,675"
"76","217","GO AGAIN","GO AGAIN (feat. Superheaven)","23,542,663","35,429","43,667,166"
"77","101","Lyfë","Can’t stop it","23,524,150","9,857","43,632,852"
"78","72","2 Alivë","3G (feat. Lil Uzi Vert)","23,160,193","6,931","42,957,780"
"79","127","AftërLyfe","Shhhh","22,994,305","10,770","42,650,089"
"80","78","2 Alivë","Gëek high (feat. Ken Carson)","22,389,570","10,042","41,528,420"
"81","146","2093","Nothing Changë","22,267,274","12,344","41,301,584"
"82","139","2093","Familia","22,188,712","57,756","41,155,867"
"83","179","2093","As We Speak (feat. Drake)","21,890,449","16,233","40,602,645"
"84","143","2093","Lyfestylë (with Lil Wayne)","21,757,233","10,466","40,355,555"
"85","165","LYFESTYLE","GONE 4 A MIN","20,590,796","33,707","38,192,034"
