"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","267","Features","IDGAF (feat. Yeat)","586,803,252","206,820","1,147,450,922"
"2","19","Up 2 Më","Monëy so big","482,471,291","137,468","894,892,575"
"3","108","Lyfë","Out thë way","469,440,101","147,832","870,722,193"
"4","164","2093","If We Being Rëal","381,577,691","222,546","707,754,117"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","319,664,635","105,556","592,917,161"
"6","110","Lyfë","Talk","314,318,153","75,750","583,000,453"
"7","66","4L","Sorry Bout That","265,472,516","74,775","492,401,077"
"8","161","2093","Breathe","253,469,676","119,379","470,138,089"
"9","91","2 Alivë","On tha linë","221,479,606","90,443","410,802,588"
"10","14","Up 2 Më","Gët Busy","202,116,674","62,347","374,888,028"
"11","187","Orphan","Already Rich","191,676,717","68,616","355,523,891"
"12","93","2 Alivë","Poppin","189,507,842","46,188","351,501,040"
"13","126","AftërLyfe","Nun id change","174,034,701","106,427","322,801,303"
"14","26","Up 2 Më","Turban","163,197,965","38,203","302,701,217"
"15","227","DANGEROUS SUMMER","COMË N GO","145,810,441","716,547","270,450,664"
"16","185","Orphan","My wrist","117,878,862","34,081","218,642,892"
"17","94","2 Alivë","Rackz got më (feat. Gunna)","114,143,681","25,652","211,714,840"
"18","212","Trëndi","Mad bout that","110,860,842","37,438","205,625,798"
"19","23","Up 2 Më","Swërved It","102,997,725","32,052","191,041,210"
"20","11","Up 2 Më","Dëserve it","101,616,971","16,768","188,480,173"
"21","261","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","95,083,487","28,442","168,159,710"
"22","62","4L","Off Tha Lot","93,809,855","25,741","173,999,457"
"23","60","4L","Money Twërk","92,971,754","31,258","172,444,939"
"24","28","Up 2 Më","U could tëll","90,900,601","26,556","168,603,343"
"25","131","AftërLyfe","Split","75,061,590","26,251","139,224,987"
"26","109","Lyfë","Systëm","72,374,655","31,626","134,241,233"
"27","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","72,209,886","22,823","133,935,618"
"28","81","2 Alivë","Jus bëtter","70,829,405","26,192","131,375,088"
"29","163","2093","ILUV","67,861,516","52,771","125,870,218"
"30","186","Orphan","bigger thën everything","66,991,144","19,810","124,255,843"
"31","178","2093","Tell më","65,292,705","40,345","121,105,562"
"32","124","AftërLyfe","No morë talk","63,871,233","30,695","118,469,001"
"33","76","2 Alivë","Doublë","61,781,249","21,728","114,592,478"
"34","29","Up 2 Më","Ya Ya","59,432,189","16,416","110,235,418"
"35","271","Features","Yam","59,059,418","17,584","109,543,999"
"36","120","AftërLyfe","How it go","54,466,618","21,801","101,025,227"
"37","179","2093","U Should Know","50,744,232","30,685","94,120,908"
"38","27","Up 2 Më","Twizzy Rich","50,670,675","26,255","93,984,474"
"39","77","2 Alivë","Dub","49,723,654","14,984","92,227,930"
"40","98","2 Alivë","Still countin","49,723,510","16,109","92,227,663"
"41","21","Up 2 Më","Rokstar","49,161,025","17,884","91,184,360"
"42","118","AftërLyfe","Bëttr 0ff","48,064,283","35,716","89,150,112"
"43","217","Rich Minion","Rich Minion","47,973,074","5,469","88,980,937"
"44","107","Lyfë","Krank","45,836,212","20,071","85,017,464"
"45","171","2093","Psycho CEO","45,279,387","22,245","83,984,659"
"46","10","Up 2 Më","Cmon","42,580,307","12,574","78,978,379"
"47","122","AftërLyfe","Mysëlf","41,925,812","39,134","77,764,415"
"48","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","41,285,693","15,713","76,577,116"
"49","13","Up 2 Më","Got rich","41,072,918","15,259","76,182,459"
"50","17","Up 2 Më","Lying 4 fun","40,838,511","16,192","75,747,678"
"51","210","Trëndi","Fukit","40,060,052","15,520","74,303,785"
"52","151","LYFESTYLE","ORCHESTRATË","39,278,670","151,765","72,854,469"
"53","189","Orphan","Heavy stunts","37,112,837","40,783","68,837,261"
"54","237","DOG HOUSE","DOG HOUSE (feat. Julia Wolf & Yeat)","37,027,476","106,514","72,404,526"
"55","79","2 Alivë","Hatër","36,129,598","13,078","67,013,539"
"56","112","Lyfë","Wat it feel lykë","35,535,775","15,212","65,912,110"
"57","176","2093","Stand On It (with Future)","35,429,042","13,872","65,714,141"
"58","213","Trëndi","Tonka 2","33,405,689","7,716","61,961,206"
"59","89","2 Alivë","Nvr again","32,896,762","17,223","61,017,243"
"60","220","GEEKED UP","GEEKED UP (FEAT. YEAT)","32,891,968","38,081","64,351,260"
"61","95","2 Alivë","Rollin","32,801,709","16,524","60,840,937"
"62","141","LYFESTYLE","GEEK TIMË","32,508,122","30,961","60,296,389"
