"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","268","Features","IDGAF (feat. Yeat)","599,065,090","186,736","1,171,428,051"
"2","19","Up 2 Më","Monëy so big","491,115,748","135,476","910,926,400"
"3","108","Lyfë","Out thë way","479,099,966","157,206","888,639,407"
"4","143","2093","If We Being Rëal","394,989,723","216,776","732,630,888"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","325,612,085","97,281","603,948,551"
"6","110","Lyfë","Talk","319,194,181","80,370","592,044,558"
"7","44","4L","Sorry Bout That","270,751,887","94,177","502,193,307"
"8","140","2093","Breathe","260,768,476","106,386","483,675,976"
"9","91","2 Alivë","On tha linë","226,697,428","84,174","420,480,656"
"10","14","Up 2 Më","Gët Busy","206,423,849","73,414","382,877,019"
"11","187","Orphan","Already Rich","195,708,446","55,607","363,001,982"
"12","93","2 Alivë","Poppin","192,681,707","55,678","357,387,956"
"13","228","DANGEROUS SUMMER","COMË N GO","185,299,847","531,514","343,696,009"
"14","126","AftërLyfe","Nun id change","180,873,840","111,062","335,486,607"
"15","26","Up 2 Më","Turban","165,697,832","43,463","307,337,995"
"16","188","Orphan","My wrist","120,116,886","35,688","222,794,001"
"17","94","2 Alivë","Rackz got më (feat. Gunna)","115,828,886","32,514","214,840,576"
"18","212","Trëndi","Mad bout that","113,376,677","34,712","210,292,194"
"19","23","Up 2 Më","Swërved It","105,109,891","36,394","194,958,876"
"20","11","Up 2 Më","Dëserve it","102,845,336","24,656","190,758,557"
"21","264","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","96,671,648","24,490","170,968,449"
"22","40","4L","Off Tha Lot","95,735,322","37,140","177,570,832"
"23","38","4L","Money Twërk","95,167,275","44,031","176,517,213"
"24","28","Up 2 Më","U could tëll","92,702,507","30,345","171,945,537"
"25","131","AftërLyfe","Split","76,700,686","22,530","142,265,199"
"26","109","Lyfë","Systëm","74,536,481","36,571","138,251,010"
"27","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","73,616,904","23,787","136,545,369"
"28","81","2 Alivë","Jus bëtter","72,694,039","33,379","134,833,630"
"29","142","2093","ILUV","71,044,893","48,634","131,774,777"
"30","189","Orphan","bigger thën everything","68,242,926","18,231","126,577,661"
"31","158","2093","Tell më","67,815,875","40,564","125,785,563"
"32","124","AftërLyfe","No morë talk","65,887,067","31,177","122,207,990"
"33","76","2 Alivë","Doublë","63,374,554","31,403","117,547,756"
"34","29","Up 2 Më","Ya Ya","60,530,609","19,069","112,272,778"
"35","275","Features","Yam","60,246,313","18,057","111,745,463"
"36","120","AftërLyfe","How it go","55,935,429","26,026","103,749,593"
"37","159","2093","U Should Know","52,580,265","26,102","97,526,401"
"38","27","Up 2 Më","Twizzy Rich","52,460,678","31,687","97,304,590"
"39","98","2 Alivë","Still countin","50,782,965","17,548","94,192,751"
"40","77","2 Alivë","Dub","50,650,335","16,648","93,946,747"
"41","118","AftërLyfe","Bëttr 0ff","50,426,393","44,454","93,531,378"
"42","21","Up 2 Më","Rokstar","50,358,891","21,117","93,406,174"
"43","218","Rich Minion","Rich Minion","48,340,331","5,583","89,662,129"
"44","107","Lyfë","Krank","47,518,688","27,727","88,138,137"
"45","175","LYFESTYLE","ORCHESTRATË","46,861,307","124,536","86,918,820"
"46","151","2093","Psycho CEO","46,703,764","22,631","86,626,608"
"47","240","Rendezvous","Rendezvous (feat. Yeat)","46,142,779","359,260","90,275,716"
"48","122","AftërLyfe","Mysëlf","44,301,476","35,926","82,170,820"
"49","10","Up 2 Më","Cmon","43,415,393","16,615","80,527,305"
"50","237","DOG HOUSE","DOG HOUSE (feat. Julia Wolf & Yeat)","43,201,382","109,021","84,477,148"
"51","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","42,382,633","18,144","78,611,731"
"52","13","Up 2 Më","Got rich","42,116,320","17,072","78,117,771"
"53","17","Up 2 Më","Lying 4 fun","41,929,112","19,779","77,770,536"
"54","210","Trëndi","Fukit","41,077,607","17,868","76,191,156"
"55","220","King tonka","Heavy stunts (with Don Toliver)","38,836,101","22,763","72,033,588"
"56","79","2 Alivë","Hatër","37,098,429","21,920","68,810,537"
"57","112","Lyfë","Wat it feel lykë","36,520,980","16,657","67,739,478"
"58","156","2093","Stand On It (with Future)","36,325,362","14,403","67,376,644"
"59","222","GEEKED UP","GEEKED UP (FEAT. YEAT)","35,183,988","40,143","68,835,467"
"60","165","LYFESTYLE","GEEK TIMË","34,421,121","24,038","63,844,639"
"61","89","2 Alivë","Nvr again","34,060,558","22,148","63,175,863"
"62","95","2 Alivë","Rollin","34,025,168","21,389","63,110,221"
"63","213","Trëndi","Tonka 2","33,913,624","9,095","62,903,328"
"64","129","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","32,779,607","9,522","60,799,942"
"65","252","Features","Fuk Tha Clout (feat. Yeat)","32,321,163","9,510","61,075,685"
"66","301","Features","5 2 Üh 60 (feat. Yeat)","32,008,769","10,588","59,370,184"
"67","227","DANGEROUS SUMMER","2TONE","31,516,631","78,029","58,457,362"
"68","83","2 Alivë","Kant rëlax","31,472,840","12,155","58,376,138"
"69","111","Lyfë","Up off X","31,211,793","16,180","57,891,945"
"70","92","2 Alivë","Outsidë (feat. Young Thug)","29,883,005","17,203","55,427,296"
"71","56","Alivë","Diëd B4","29,636,529","14,015","54,970,130"
"72","141","2093","Familia","28,903,184","29,372","53,609,914"
"73","146","2093","Morë","28,399,498","14,053","52,675,672"
"74","223","GO AGAIN","GO AGAIN (feat. Superheaven)","28,155,512","26,314","55,412,440"
"75","190","Orphan","The Bell","28,110,414","21,180","52,139,476"
"76","226","DANGEROUS SUMMER","IM YEAT","27,870,752","35,202","51,694,949"
"77","16","Up 2 Më","Kant changë","27,468,223","16,209","50,948,334"
"78","96","2 Alivë","Rëal six","27,330,387","16,122","50,692,675"
"79","84","2 Alivë","Luh gëek","25,902,637","19,224","48,044,470"
"80","99","2 Alivë","Taliban","25,681,306","18,090","47,633,943"
"81","168","LYFESTYLE","GONE 4 A MIN","24,946,765","24,708","46,271,509"
"82","101","Lyfë","Can’t stop it","24,871,371","9,033","46,131,667"
"83","235","DANGEROUS SUMMER","PUT IT ONG","24,700,234","42,492","45,814,241"
"84","128","AftërLyfe","Shhhh","24,687,447","13,048","45,790,523"
"85","72","2 Alivë","3G (feat. Lil Uzi Vert)","24,385,489","12,464","45,230,448"
"86","149","2093","Nothing Changë","24,268,667","12,621","45,013,766"
"87","138","2093","As We Speak (feat. Drake)","24,104,051","15,569","44,708,434"
"88","78","2 Alivë","Gëek high (feat. Ken Carson)","23,918,966","10,909","44,365,137"
"89","145","2093","Lyfestylë (with Lil Wayne)","23,331,158","10,205","43,274,865"
