"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","257","Features","IDGAF (feat. Yeat)","577,510,808","229,555","1,129,280,226"
"2","19","Up 2 Më","Monëy so big","475,852,009","164,287","882,615,064"
"3","108","Lyfë","Out thë way","462,290,821","194,933","857,461,637"
"4","164","2093","If We Being Rëal","371,309,229","272,357","688,708,071"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","314,692,795","124,653","583,695,343"
"6","110","Lyfë","Talk","310,820,382","89,704","576,512,752"
"7","66","4L","Sorry Bout That","262,025,975","95,586","486,008,398"
"8","161","2093","Breathe","248,172,528","127,973","460,312,886"
"9","91","2 Alivë","On tha linë","217,873,586","95,179","404,114,106"
"10","14","Up 2 Më","Gët Busy","199,127,314","72,070","369,343,333"
"11","184","Orphan","Already Rich","188,976,502","62,575","350,515,505"
"12","93","2 Alivë","Poppin","187,336,415","53,994","347,473,455"
"13","125","AftërLyfe","Nun id change","169,663,530","110,339","314,693,612"
"14","26","Up 2 Më","Turban","161,462,871","43,114","299,482,947"
"15","182","Orphan","My wrist","116,299,474","38,021","215,713,427"
"16","94","2 Alivë","Rackz got më (feat. Gunna)","112,995,516","28,589","209,585,213"
"17","222","DANGEROUS SUMMER","COMË N GO","109,444,829","1,013,170","202,999,363"
"18","208","Trëndi","Mad bout that","109,184,769","44,296","202,517,001"
"19","23","Up 2 Më","Swërved It","101,459,416","44,485","188,187,939"
"20","11","Up 2 Më","Dëserve it","100,786,964","18,843","186,940,668"
"21","276","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","93,891,597","27,997","166,051,796"
"22","62","4L","Off Tha Lot","92,524,119","29,289","171,614,661"
"23","60","4L","Money Twërk","91,507,677","35,600","169,729,354"
"24","28","Up 2 Më","U could tëll","89,632,452","32,234","166,251,168"
"25","130","AftërLyfe","Split","73,966,917","25,473","137,194,577"
"26","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","71,162,523","24,064","131,992,959"
"27","109","Lyfë","Systëm","70,951,383","38,409","131,601,334"
"28","81","2 Alivë","Jus bëtter","69,719,439","27,063","129,316,312"
"29","183","Orphan","bigger thën everything","66,075,317","23,841","122,557,158"
"30","163","2093","ILUV","65,471,272","57,533","121,436,770"
"31","179","2093","Tell më","63,420,223","45,399","117,632,463"
"32","123","AftërLyfe","No morë talk","62,697,443","26,690","116,291,844"
"33","76","2 Alivë","Doublë","60,750,182","22,700","112,680,045"
"34","29","Up 2 Më","Ya Ya","58,674,015","18,033","108,829,149"
"35","245","Features","Yam","58,192,635","22,120","107,936,281"
"36","119","AftërLyfe","How it go","53,590,552","21,042","99,400,291"
"37","27","Up 2 Më","Twizzy Rich","49,447,181","30,702","91,715,125"
"38","180","2093","U Should Know","49,286,040","34,383","91,416,239"
"39","77","2 Alivë","Dub","49,078,628","16,094","91,031,530"
"40","98","2 Alivë","Still countin","48,979,506","18,388","90,847,677"
"41","21","Up 2 Më","Rokstar","48,381,517","20,589","89,738,521"
"42","214","Rich Minion","Rich Minion","47,720,856","5,362","88,513,120"
"43","117","AftërLyfe","Bëttr 0ff","46,623,314","33,106","86,477,389"
"44","107","Lyfë","Krank","44,920,922","20,821","83,319,775"
"45","172","2093","Psycho CEO","44,223,643","25,682","82,026,455"
"46","10","Up 2 Më","Cmon","42,024,861","12,890","77,948,132"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","40,573,614","22,224","75,256,344"
"48","13","Up 2 Më","Got rich","40,419,757","16,916","74,970,969"
"49","121","AftërLyfe","Mysëlf","40,214,436","35,385","74,590,138"
"50","17","Up 2 Më","Lying 4 fun","40,132,671","15,757","74,438,479"
"51","206","Trëndi","Fukit","39,343,976","19,216","72,975,600"
"52","186","Orphan","Heavy stunts","35,954,767","24,197","66,689,261"
"53","79","2 Alivë","Hatër","35,509,133","13,513","65,862,694"
"54","112","Lyfë","Wat it feel lykë","34,909,931","14,147","64,751,289"
"55","177","2093","Stand On It (with Future)","34,775,098","14,920","64,501,199"
"56","150","LYFESTYLE","ORCHESTRATË","33,743,649","142,059","62,588,057"
"57","209","Trëndi","Tonka 2","33,080,832","7,000","61,358,658"
"58","89","2 Alivë","Nvr again","32,126,143","18,455","59,587,891"
"59","95","2 Alivë","Rollin","32,060,300","18,736","59,465,765"
"60","231","DOG HOUSE","DOG HOUSE (feat. Julia Wolf & Yeat)","32,004,990","125,465","62,583,421"
"61","128","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","31,902,080","8,398","59,172,297"
"62","266","Features","Fuk Tha Clout (feat. Yeat)","31,324,115","9,812","59,191,613"
"63","217","GEEKED UP","GEEKED UP (FEAT. YEAT)","31,281,424","36,638","61,200,323"
"64","140","LYFESTYLE","GEEK TIMË","30,992,023","36,575","57,484,314"
"65","300","Features","5 2 Üh 60 (feat. Yeat)","30,938,703","10,483","57,385,415"
"66","83","2 Alivë","Kant rëlax","30,288,316","11,291","56,179,071"
"67","111","Lyfë","Up off X","29,645,702","14,056","54,987,144"
"68","92","2 Alivë","Outsidë (feat. Young Thug)","28,516,820","12,870","52,893,282"
"69","36","Alivë","Diëd B4","28,333,247","10,668","52,552,789"
"70","167","2093","Morë","26,749,654","16,576","49,615,525"
"71","96","2 Alivë","Rëal six","26,035,292","12,382","48,290,519"
