"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","254","Features","IDGAF (feat. Yeat)","555,278,440","251,585","1,085,800,346"
"2","19","Up 2 Më","Monëy so big","462,842,817","121,081","858,485,948"
"3","108","Lyfë","Out thë way","447,335,144","151,005","829,722,145"
"4","164","2093","If We Being Rëal","347,045,122","252,266","643,703,109"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","304,702,167","98,708","565,164,931"
"6","110","Lyfë","Talk","302,741,170","88,796","561,527,652"
"7","66","4L","Sorry Bout That","254,713,935","76,589","472,446,208"
"8","161","2093","Breathe","236,927,808","117,140","439,456,304"
"9","91","2 Alivë","On tha linë","210,832,973","61,528","391,055,317"
"10","14","Up 2 Më","Gët Busy","193,024,027","59,368","358,023,088"
"11","181","Orphan","Already Rich","183,110,486","54,903","339,635,343"
"12","93","2 Alivë","Poppin","182,536,494","44,635","338,570,696"
"13","125","AftërLyfe","Nun id change","159,950,547","93,000","296,678,034"
"14","26","Up 2 Më","Turban","157,544,589","33,931","292,215,436"
"15","184","Orphan","My wrist","112,450,493","40,329","208,574,411"
"16","94","2 Alivë","Rackz got më (feat. Gunna)","110,412,123","24,634","204,793,620"
"17","207","Trëndi","Mad bout that","105,595,591","28,332","195,859,863"
"18","11","Up 2 Më","Dëserve it","98,858,248","17,505","183,363,365"
"19","23","Up 2 Më","Swërved It","97,768,829","32,143","181,342,699"
"20","274","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","91,674,077","21,718","162,130,005"
"21","62","4L","Off Tha Lot","89,777,340","24,244","166,519,997"
"22","60","4L","Money Twërk","87,675,335","35,522","162,621,175"
"23","28","Up 2 Më","U could tëll","86,625,987","28,857","160,674,833"
"24","130","AftërLyfe","Split","72,006,689","17,320","133,558,798"
"25","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","68,955,092","21,336","127,898,663"
"26","109","Lyfë","Systëm","67,725,358","28,639","125,617,738"
"27","81","2 Alivë","Jus bëtter","67,312,795","22,171","124,852,512"
"28","183","Orphan","bigger thën everything","63,758,362","25,039","118,259,711"
"29","123","AftërLyfe","No morë talk","60,181,107","23,553","111,624,579"
"30","163","2093","ILUV","59,793,963","60,125","110,906,500"
"31","179","2093","Tell më","58,902,344","45,798","109,252,715"
"32","76","2 Alivë","Doublë","58,694,493","18,203","108,867,191"
"33","29","Up 2 Më","Ya Ya","56,938,099","15,960","105,609,412"
"34","242","Features","Yam","56,226,510","21,985","104,289,549"
"35","119","AftërLyfe","How it go","51,839,443","15,700","96,152,369"
"36","77","2 Alivë","Dub","47,792,844","10,988","88,646,692"
"37","98","2 Alivë","Still countin","47,395,800","14,351","87,910,251"
"38","213","Rich Minion","Rich Minion","47,185,630","5,314","87,520,425"
"39","21","Up 2 Më","Rokstar","46,546,840","15,497","86,335,590"
"40","27","Up 2 Më","Twizzy Rich","46,447,058","25,825","86,150,514"
"41","180","2093","U Should Know","45,850,795","30,890","85,044,558"
"42","117","AftërLyfe","Bëttr 0ff","44,134,496","21,458","81,861,148"
"43","107","Lyfë","Krank","42,477,305","26,007","78,787,372"
"44","172","2093","Psycho CEO","41,841,316","23,437","77,607,733"
"45","10","Up 2 Më","Cmon","40,781,727","11,709","75,642,395"
"46","13","Up 2 Më","Got rich","38,970,192","12,489","72,282,340"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","38,899,649","14,109","72,151,496"
"48","17","Up 2 Më","Lying 4 fun","38,599,122","14,857","71,594,076"
"49","205","Trëndi","Fukit","37,804,647","13,166","70,120,475"
"50","121","AftërLyfe","Mysëlf","36,922,202","30,531","68,483,706"
"51","79","2 Alivë","Hatër","34,218,590","10,173","63,469,017"
"52","112","Lyfë","Wat it feel lykë","33,617,805","12,440","62,354,674"
"53","186","Orphan","Heavy stunts","33,596,622","24,407","62,315,384"
"54","177","2093","Stand On It (with Future)","33,295,008","14,563","61,755,947"
"55","208","Trëndi","Tonka 2","32,344,378","6,493","59,992,708"
"56","128","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","31,165,595","7,505","57,806,288"
"57","89","2 Alivë","Nvr again","30,571,877","12,252","56,705,053"
"58","95","2 Alivë","Rollin","30,508,337","12,471","56,587,199"
"59","264","Features","Fuk Tha Clout (feat. Yeat)","30,393,538","10,596","57,433,057"
