"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","254","Features","IDGAF (feat. Yeat)","556,492,471","255,651","1,088,174,281"
"2","19","Up 2 Më","Monëy so big","463,448,892","125,844","859,610,102"
"3","108","Lyfë","Out thë way","448,065,380","156,055","831,076,595"
"4","164","2093","If We Being Rëal","348,289,684","253,672","646,011,537"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","305,171,556","97,315","566,035,558"
"6","110","Lyfë","Talk","303,175,176","90,449","562,332,651"
"7","66","4L","Sorry Bout That","255,079,745","70,977","473,124,716"
"8","161","2093","Breathe","237,483,374","112,821","440,486,774"
"9","91","2 Alivë","On tha linë","211,135,918","67,966","391,617,223"
"10","14","Up 2 Më","Gët Busy","193,312,646","63,402","358,558,422"
"11","184","Orphan","Already Rich","183,394,778","62,064","340,162,651"
"12","93","2 Alivë","Poppin","182,755,874","46,846","338,977,605"
"13","125","AftërLyfe","Nun id change","160,399,056","95,749","297,509,933"
"14","26","Up 2 Më","Turban","157,710,790","36,438","292,523,708"
"15","181","Orphan","My wrist","112,646,594","41,407","208,938,141"
"16","94","2 Alivë","Rackz got më (feat. Gunna)","110,534,829","26,639","205,021,216"
"17","207","Trëndi","Mad bout that","105,736,718","30,318","196,121,627"
"18","11","Up 2 Më","Dëserve it","98,943,375","18,056","183,521,260"
"19","23","Up 2 Më","Swërved It","97,927,231","34,098","181,636,505"
"20","274","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","91,775,553","21,334","162,309,470"
"21","62","4L","Off Tha Lot","89,901,780","27,326","166,750,810"
"22","60","4L","Money Twërk","87,846,321","35,744","162,938,322"
"23","28","Up 2 Më","U could tëll","86,754,550","28,104","160,913,293"
"24","130","AftërLyfe","Split","72,090,256","18,263","133,713,799"
"25","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","69,052,948","22,069","128,080,167"
"26","109","Lyfë","Systëm","67,854,309","27,619","125,856,918"
"27","81","2 Alivë","Jus bëtter","67,409,993","20,940","125,032,796"
"28","183","Orphan","bigger thën everything","63,875,719","25,008","118,477,386"
"29","123","AftërLyfe","No morë talk","60,293,983","24,408","111,833,942"
"30","163","2093","ILUV","60,082,384","62,297","111,441,466"
"31","179","2093","Tell më","59,117,090","45,317","109,651,028"
"32","76","2 Alivë","Doublë","58,780,496","18,076","109,026,710"
"33","29","Up 2 Më","Ya Ya","57,015,223","17,715","105,752,462"
"34","242","Features","Yam","56,316,945","19,049","104,457,289"
"35","119","AftërLyfe","How it go","51,916,423","18,549","96,295,152"
"36","77","2 Alivë","Dub","47,850,497","12,331","88,753,628"
"37","98","2 Alivë","Still countin","47,467,767","15,335","88,043,736"
"38","213","Rich Minion","Rich Minion","47,211,850","5,015","87,569,058"
"39","21","Up 2 Më","Rokstar","46,621,674","15,139","86,474,393"
"40","27","Up 2 Më","Twizzy Rich","46,580,411","30,816","86,397,858"
"41","180","2093","U Should Know","46,008,438","32,614","85,336,956"
"42","117","AftërLyfe","Bëttr 0ff","44,240,629","22,475","82,058,005"
"43","107","Lyfë","Krank","42,592,617","24,837","79,001,254"
"44","172","2093","Psycho CEO","41,960,575","24,443","77,828,936"
"45","10","Up 2 Më","Cmon","40,835,473","10,861","75,742,084"
"46","13","Up 2 Më","Got rich","39,032,572","12,716","72,398,043"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","38,967,268","14,203","72,276,917"
"48","17","Up 2 Më","Lying 4 fun","38,669,194","14,899","71,724,046"
"49","205","Trëndi","Fukit","37,865,873","13,455","70,234,037"
"50","121","AftërLyfe","Mysëlf","37,074,438","31,707","68,766,075"
"51","79","2 Alivë","Hatër","34,271,732","10,929","63,567,585"
"52","186","Orphan","Heavy stunts","33,708,993","23,657","62,523,811"
"53","112","Lyfë","Wat it feel lykë","33,675,076","12,046","62,460,901"
"54","177","2093","Stand On It (with Future)","33,367,493","15,420","61,890,393"
"55","208","Trëndi","Tonka 2","32,380,039","7,453","60,058,852"
"56","128","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","31,201,247","7,654","57,872,416"
"57","89","2 Alivë","Nvr again","30,630,215","12,349","56,813,259"
"58","95","2 Alivë","Rollin","30,563,905","11,805","56,690,267"
"59","264","Features","Fuk Tha Clout (feat. Yeat)","30,436,810","9,053","57,514,826"
"60","299","Features","5 2 Üh 60 (feat. Yeat)","30,076,135","8,904","55,785,546"
"61","83","2 Alivë","Kant rëlax","29,284,483","9,642","54,317,181"
