"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","253","Features","IDGAF (feat. Yeat)","552,133,434","257,152","1,079,650,550"
"2","19","Up 2 Më","Monëy so big","461,238,422","130,528","855,510,098"
"3","108","Lyfë","Out thë way","445,460,409","151,737","826,244,866"
"4","141","2093","If We Being Rëal","343,757,261","277,666","637,604,749"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","303,469,905","102,598","562,879,317"
"6","110","Lyfë","Talk","301,616,341","91,553","559,441,307"
"7","66","4L","Sorry Bout That","253,767,170","80,817","470,690,138"
"8","138","2093","Breathe","235,460,716","120,899","436,735,126"
"9","91","2 Alivë","On tha linë","210,058,961","66,655","389,619,671"
"10","14","Up 2 Më","Gët Busy","192,746,681","70,506","357,508,664"
"11","184","Orphan","Already Rich","182,398,949","60,524","338,315,576"
"12","93","2 Alivë","Poppin","181,966,683","47,598","337,513,805"
"13","125","AftërLyfe","Nun id change","158,795,374","97,111","294,535,406"
"14","26","Up 2 Më","Turban","157,104,111","37,857","291,398,433"
"15","183","Orphan","My wrist","111,938,513","41,573","207,624,785"
"16","94","2 Alivë","Rackz got më (feat. Gunna)","110,085,599","25,862","204,187,979"
"17","207","Trëndi","Mad bout that","105,189,674","32,189","195,106,964"
"18","11","Up 2 Më","Dëserve it","98,643,661","17,968","182,965,347"
"19","23","Up 2 Më","Swërved It","97,382,995","31,502","180,627,050"
"20","273","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","91,408,316","20,665","161,659,994"
"21","62","4L","Off Tha Lot","89,476,008","25,044","165,961,083"
"22","60","4L","Money Twërk","87,253,276","33,259","161,838,336"
"23","28","Up 2 Më","U could tëll","86,294,308","26,284","160,059,631"
"24","130","AftërLyfe","Split","71,788,851","17,745","133,154,750"
"25","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","68,699,584","22,053","127,424,744"
"26","109","Lyfë","Systëm","67,385,475","25,846","124,987,320"
"27","81","2 Alivë","Jus bëtter","67,062,303","21,680","124,387,897"
"28","182","Orphan","bigger thën everything","63,466,201","23,326","117,717,807"
"29","123","AftërLyfe","No morë talk","59,896,068","24,450","111,095,885"
"30","140","2093","ILUV","59,047,861","61,097","109,522,622"
"31","76","2 Alivë","Doublë","58,467,411","17,529","108,445,997"
"32","155","2093","Tell më","58,344,094","46,176","108,217,267"
"33","29","Up 2 Më","Ya Ya","56,734,722","15,717","105,232,186"
"34","241","Features","Yam","55,986,059","17,136","103,843,558"
"35","119","AftërLyfe","How it go","51,633,732","15,814","95,770,814"
"36","77","2 Alivë","Dub","47,646,141","11,950","88,374,586"
"37","98","2 Alivë","Still countin","47,210,186","14,247","87,565,972"
"38","213","Rich Minion","Rich Minion","47,118,032","5,651","87,395,044"
"39","21","Up 2 Më","Rokstar","46,341,667","15,549","85,955,033"
"40","27","Up 2 Më","Twizzy Rich","46,128,945","25,104","85,560,474"
"41","156","2093","U Should Know","45,448,123","33,173","84,297,678"
"42","117","AftërLyfe","Bëttr 0ff","43,848,477","24,366","81,330,637"
"43","107","Lyfë","Krank","42,725,538","29,323","79,247,797"
"44","148","2093","Psycho CEO","41,549,628","23,799","77,066,707"
"45","10","Up 2 Më","Cmon","40,631,281","12,338","75,363,346"
"46","13","Up 2 Më","Got rich","38,810,101","13,192","71,985,402"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","38,716,250","14,011","71,811,326"
"48","17","Up 2 Më","Lying 4 fun","38,410,615","16,790","71,244,431"
"49","205","Trëndi","Fukit","37,645,058","12,373","69,824,467"
"50","121","AftërLyfe","Mysëlf","36,541,150","31,817","67,776,926"
"51","79","2 Alivë","Hatër","34,088,955","12,357","63,228,568"
"52","112","Lyfë","Wat it feel lykë","33,469,791","13,341","62,080,136"
"53","186","Orphan","Heavy stunts","33,289,472","22,889","61,745,678"
"54","153","2093","Stand On It (with Future)","33,110,142","15,759","61,413,055"
"55","208","Trëndi","Tonka 2","32,256,872","6,579","59,830,401"
"56","128","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","31,075,988","7,051","57,640,084"
"57","89","2 Alivë","Nvr again","30,415,156","12,636","56,414,365"
