"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","253","Features","IDGAF (feat. Yeat)","550,154,072","252,947","1,075,780,074"
"2","19","Up 2 Më","Monëy so big","460,205,876","139,976","853,594,921"
"3","108","Lyfë","Out thë way","444,318,314","164,499","824,126,496"
"4","141","2093","If We Being Rëal","341,604,099","273,398","633,611,040"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","302,663,509","108,167","561,383,605"
"6","110","Lyfë","Talk","300,880,235","96,462","558,075,969"
"7","66","4L","Sorry Bout That","253,161,879","82,902","469,567,437"
"8","138","2093","Breathe","234,483,252","129,491","434,922,115"
"9","91","2 Alivë","On tha linë","209,576,786","60,617","388,725,328"
"10","14","Up 2 Më","Gët Busy","192,076,332","81,021","356,265,293"
"11","181","Orphan","Already Rich","181,940,316","63,646","337,464,899"
"12","93","2 Alivë","Poppin","181,601,755","47,141","336,836,932"
"13","125","AftërLyfe","Nun id change","158,054,275","93,041","293,160,807"
"14","26","Up 2 Më","Turban","156,816,764","36,379","290,865,458"
"15","184","Orphan","My wrist","111,606,634","44,512","207,009,212"
"16","94","2 Alivë","Rackz got më (feat. Gunna)","109,888,462","24,435","203,822,328"
"17","207","Trëndi","Mad bout that","104,935,528","35,453","194,635,571"
"18","11","Up 2 Më","Dëserve it","98,506,821","17,170","182,711,535"
"19","23","Up 2 Më","Swërved It","97,141,292","31,831","180,178,736"
"20","273","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","91,253,523","19,706","161,386,235"
"21","62","4L","Off Tha Lot","89,291,781","25,642","165,619,377"
"22","60","4L","Money Twërk","86,984,635","34,414","161,340,057"
"23","28","Up 2 Më","U could tëll","86,070,853","30,981","159,645,164"
"24","130","AftërLyfe","Split","71,651,026","18,429","132,899,111"
"25","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","68,538,365","19,694","127,125,713"
"26","109","Lyfë","Systëm","67,179,520","26,953","124,605,312"
"27","81","2 Alivë","Jus bëtter","66,903,628","20,897","124,093,585"
"28","183","Orphan","bigger thën everything","63,283,286","22,934","117,378,534"
"29","123","AftërLyfe","No morë talk","59,697,775","26,808","110,728,089"
"30","140","2093","ILUV","58,562,125","62,973","108,621,673"
"31","76","2 Alivë","Doublë","58,327,900","17,775","108,187,230"
"32","155","2093","Tell më","57,980,680","47,615","107,543,203"
"33","29","Up 2 Më","Ya Ya","56,608,820","16,656","104,998,662"
"34","241","Features","Yam","55,850,885","17,332","103,592,835"
"35","119","AftërLyfe","How it go","51,510,345","15,790","95,541,954"
"36","77","2 Alivë","Dub","47,553,706","11,937","88,203,136"
"37","98","2 Alivë","Still countin","47,092,465","15,167","87,347,622"
"38","213","Rich Minion","Rich Minion","47,074,458","5,556","87,314,222"
"39","21","Up 2 Më","Rokstar","46,220,190","14,616","85,729,716"
"40","27","Up 2 Më","Twizzy Rich","45,919,333","28,544","85,171,683"
"41","156","2093","U Should Know","45,197,420","34,525","83,832,671"
"42","117","AftërLyfe","Bëttr 0ff","43,653,767","25,680","80,969,487"
"43","107","Lyfë","Krank","42,340,553","40,470","78,533,723"
"44","148","2093","Psycho CEO","41,362,697","25,937","76,719,985"
"45","10","Up 2 Më","Cmon","40,528,027","11,093","75,171,830"
"46","13","Up 2 Më","Got rich","38,700,003","16,101","71,781,191"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","38,604,441","15,110","71,603,941"
"48","17","Up 2 Më","Lying 4 fun","38,274,778","17,901","70,992,479"
"49","205","Trëndi","Fukit","37,542,323","12,590","69,633,913"
