"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","256","Features","IDGAF (feat. Yeat)","572,345,097","226,255","1,119,172,760"
"2","19","Up 2 Më","Monëy so big","472,356,319","141,937","876,131,696"
"3","108","Lyfë","Out thë way","458,381,097","153,393","850,210,300"
"4","164","2093","If We Being Rëal","365,383,958","252,088","677,718,184"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","311,961,782","111,252","578,630,144"
"6","110","Lyfë","Talk","308,939,447","84,447","573,024,284"
"7","66","4L","Sorry Bout That","260,141,348","74,292","482,513,033"
"8","161","2093","Breathe","245,269,249","120,549","454,928,101"
"9","91","2 Alivë","On tha linë","216,112,425","80,110","400,847,703"
"10","14","Up 2 Më","Gët Busy","197,566,616","64,495","366,448,732"
"11","184","Orphan","Already Rich","187,543,233","57,065","347,857,251"
"12","93","2 Alivë","Poppin","186,129,023","54,270","345,234,159"
"13","125","AftërLyfe","Nun id change","167,116,659","99,873","309,969,817"
"14","26","Up 2 Më","Turban","160,398,346","43,551","297,508,616"
"15","182","Orphan","My wrist","115,423,057","44,349","214,087,955"
"16","94","2 Alivë","Rackz got më (feat. Gunna)","112,357,380","32,115","208,401,704"
"17","207","Trëndi","Mad bout that","108,256,869","42,012","200,796,031"
"18","23","Up 2 Më","Swërved It","100,526,894","42,220","186,458,388"
"19","11","Up 2 Më","Dëserve it","100,315,681","20,694","186,066,628"
"20","275","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","93,304,149","26,183","165,012,866"
"21","62","4L","Off Tha Lot","91,809,788","29,662","170,289,804"
"22","60","4L","Money Twërk","90,602,024","42,588","168,049,630"
"23","28","Up 2 Më","U could tëll","88,888,161","35,837","164,870,738"
"24","221","DANGEROUS SUMMER","COMË N GO","85,901,427","1,066,185","159,330,911"
"25","130","AftërLyfe","Split","73,371,520","20,608","136,090,302"
"26","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","70,585,532","25,629","130,922,821"
"27","109","Lyfë","Systëm","70,090,611","37,553","130,004,836"
"28","81","2 Alivë","Jus bëtter","69,129,465","27,737","128,222,092"
"29","183","Orphan","bigger thën everything","65,544,468","23,953","121,572,600"
"30","163","2093","ILUV","64,074,118","56,404","118,845,378"
"31","179","2093","Tell më","62,333,674","53,595","115,617,184"
"32","123","AftërLyfe","No morë talk","62,061,236","29,304","115,111,863"
"33","76","2 Alivë","Doublë","60,208,474","23,273","111,675,339"
"34","29","Up 2 Më","Ya Ya","58,226,806","20,153","107,999,720"
"35","244","Features","Yam","57,702,743","22,914","107,027,682"
"36","119","AftërLyfe","How it go","53,139,391","18,462","98,563,526"
"37","77","2 Alivë","Dub","48,745,075","14,243","90,412,901"
"38","27","Up 2 Më","Twizzy Rich","48,693,758","36,461","90,317,717"
"39","98","2 Alivë","Still countin","48,562,181","19,830","90,073,667"
"40","180","2093","U Should Know","48,442,778","42,239","89,852,197"
"41","21","Up 2 Më","Rokstar","47,892,020","20,115","88,830,645"
"42","213","Rich Minion","Rich Minion","47,598,273","5,763","88,285,800"
"43","117","AftërLyfe","Bëttr 0ff","45,954,904","28,424","85,237,661"
"44","107","Lyfë","Krank","44,389,486","29,906","82,334,106"
"45","172","2093","Psycho CEO","43,641,864","25,884","80,947,409"
"46","10","Up 2 Më","Cmon","41,713,257","13,571","77,370,207"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","40,116,231","17,799","74,408,026"
"48","13","Up 2 Më","Got rich","40,036,446","17,918","74,260,040"
"49","17","Up 2 Më","Lying 4 fun","39,758,386","16,490","73,744,291"
"50","121","AftërLyfe","Mysëlf","39,388,821","36,678","73,058,818"
"51","205","Trëndi","Fukit","38,948,010","15,061","72,241,197"
"52","186","Orphan","Heavy stunts","35,405,109","25,884","65,669,785"
"53","79","2 Alivë","Hatër","35,174,121","15,166","65,241,346"
"54","112","Lyfë","Wat it feel lykë","34,590,241","13,572","64,158,359"
"55","177","2093","Stand On It (with Future)","34,416,127","16,539","63,835,410"
"56","208","Trëndi","Tonka 2","32,904,454","8,619","61,031,543"
"57","128","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","31,721,624","7,795","58,837,617"
"58","89","2 Alivë","Nvr again","31,715,473","17,669","58,826,208"
"59","95","2 Alivë","Rollin","31,648,313","19,643","58,701,639"
