"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","253","Features","IDGAF (feat. Yeat)","546,368,777","244,353","1,068,378,248"
"2","19","Up 2 Më","Monëy so big","458,114,422","137,026","849,715,669"
"3","108","Lyfë","Out thë way","441,986,206","144,783","819,800,876"
"4","164","2093","If We Being Rëal","337,027,920","298,533","625,123,093"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","301,060,357","108,741","558,410,061"
"6","110","Lyfë","Talk","299,408,990","106,103","555,347,088"
"7","66","4L","Sorry Bout That","251,929,644","78,651","467,281,874"
"8","161","2093","Breathe","232,499,770","128,304","431,243,130"
"9","91","2 Alivë","On tha linë","208,591,954","70,072","386,898,650"
"10","14","Up 2 Më","Gët Busy","190,611,409","58,579","353,548,138"
"11","181","Orphan","Already Rich","180,992,039","65,994","335,706,024"
"12","93","2 Alivë","Poppin","180,875,701","44,450","335,490,239"
"13","125","AftërLyfe","Nun id change","156,659,987","97,009","290,574,667"
"14","26","Up 2 Më","Turban","156,256,521","35,490","289,826,313"
"15","184","Orphan","My wrist","110,936,665","42,329","205,766,546"
"16","94","2 Alivë","Rackz got më (feat. Gunna)","109,485,829","26,182","203,075,519"
"17","207","Trëndi","Mad bout that","104,454,107","30,601","193,742,626"
"18","11","Up 2 Më","Dëserve it","98,229,135","16,806","182,196,480"
"19","23","Up 2 Më","Swërved It","96,668,082","29,445","179,301,021"
"20","273","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","90,943,344","21,407","160,837,669"
"21","62","4L","Off Tha Lot","88,928,692","21,854","164,945,916"
"22","60","4L","Money Twërk","86,422,258","33,852","160,296,954"
"23","28","Up 2 Më","U could tëll","85,660,791","24,851","158,884,577"
"24","130","AftërLyfe","Split","71,372,526","17,737","132,382,546"
"25","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","68,230,543","20,032","126,554,761"
"26","109","Lyfë","Systëm","66,778,628","26,434","123,861,733"
"27","81","2 Alivë","Jus bëtter","66,598,407","18,920","123,527,457"
"28","183","Orphan","bigger thën everything","62,919,950","24,022","116,704,615"
"29","123","AftërLyfe","No morë talk","59,277,604","33,678","109,948,751"
"30","76","2 Alivë","Doublë","58,061,852","16,412","107,693,761"
"31","163","2093","ILUV","57,600,970","62,387","106,838,912"
"32","179","2093","Tell më","57,229,634","47,768","106,150,154"
"33","29","Up 2 Më","Ya Ya","56,363,777","14,618","104,544,153"
"34","241","Features","Yam","55,588,053","16,822","103,105,332"
"35","119","AftërLyfe","How it go","51,253,059","15,514","95,064,737"
"36","77","2 Alivë","Dub","47,366,346","11,957","87,855,619"
"37","213","Rich Minion","Rich Minion","46,983,678","5,742","87,145,842"
"38","98","2 Alivë","Still countin","46,860,977","16,735","86,918,255"
"39","21","Up 2 Më","Rokstar","45,980,543","15,910","85,285,216"
"40","27","Up 2 Më","Twizzy Rich","45,474,762","30,454","84,347,088"
"41","180","2093","U Should Know","44,682,080","32,856","82,876,813"
"42","117","AftërLyfe","Bëttr 0ff","43,273,239","27,913","80,263,679"
"43","107","Lyfë","Krank","41,368,842","21,969","76,731,383"
"44","172","2093","Psycho CEO","40,961,223","26,790","75,975,326"
"45","10","Up 2 Më","Cmon","40,357,876","10,044","74,856,232"
"46","13","Up 2 Më","Got rich","38,489,754","12,083","71,391,219"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","38,365,660","13,864","71,161,048"
"48","17","Up 2 Më","Lying 4 fun","38,047,232","13,366","70,570,424"
"49","205","Trëndi","Fukit","37,344,734","13,247","69,267,423"
"50","121","AftërLyfe","Mysëlf","35,798,932","29,991","66,400,252"
"51","79","2 Alivë","Hatër","33,857,762","8,776","62,799,749"
"52","112","Lyfë","Wat it feel lykë","33,178,282","11,601","61,539,442"
"53","177","2093","Stand On It (with Future)","32,756,199","15,373","60,756,558"
"54","186","Orphan","Heavy stunts","32,725,526","24,065","60,699,665"
"55","208","Trëndi","Tonka 2","32,093,933","6,984","59,528,179"
"56","128","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","30,906,826","6,822","57,326,320"
