"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","268","Features","IDGAF (feat. Yeat)","598,878,354","186,840","1,171,062,903"
"2","19","Up 2 Më","Monëy so big","490,980,272","129,169","910,675,118"
"3","108","Lyfë","Out thë way","478,942,760","161,089","888,347,820"
"4","143","2093","If We Being Rëal","394,772,947","209,880","732,228,809"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","325,514,804","93,382","603,768,113"
"6","110","Lyfë","Talk","319,113,811","75,854","591,895,487"
"7","44","4L","Sorry Bout That","270,657,710","89,085","502,018,627"
"8","140","2093","Breathe","260,662,090","110,326","483,478,651"
"9","91","2 Alivë","On tha linë","226,613,254","82,093","420,324,529"
"10","14","Up 2 Më","Gët Busy","206,350,435","74,195","382,740,850"
"11","187","Orphan","Already Rich","195,652,839","55,165","362,898,842"
"12","93","2 Alivë","Poppin","192,626,029","56,083","357,284,684"
"13","228","DANGEROUS SUMMER","COMË N GO","184,768,333","536,622","342,710,151"
"14","126","AftërLyfe","Nun id change","180,762,778","107,342","335,280,608"
"15","26","Up 2 Më","Turban","165,654,369","44,413","307,257,380"
"16","188","Orphan","My wrist","120,081,198","34,763","222,727,806"
"17","94","2 Alivë","Rackz got më (feat. Gunna)","115,796,372","32,383","214,780,268"
"18","212","Trëndi","Mad bout that","113,341,965","36,131","210,227,810"
"19","23","Up 2 Më","Swërved It","105,073,497","32,833","194,891,372"
"20","11","Up 2 Më","Dëserve it","102,820,680","26,302","190,712,825"
"21","264","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","96,647,158","21,765","170,925,137"
"22","40","4L","Off Tha Lot","95,698,182","32,689","177,501,944"
"23","38","4L","Money Twërk","95,123,244","39,492","176,435,544"
"24","28","Up 2 Më","U could tëll","92,672,162","30,727","171,889,252"
"25","131","AftërLyfe","Split","76,678,156","22,216","142,223,410"
"26","109","Lyfë","Systëm","74,499,910","32,240","138,183,178"
"27","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","73,593,117","22,200","136,501,249"
"28","81","2 Alivë","Jus bëtter","72,660,660","32,242","134,771,718"
"29","142","2093","ILUV","70,996,259","48,229","131,684,571"
"30","189","Orphan","bigger thën everything","68,224,695","18,208","126,543,846"
"31","158","2093","Tell më","67,775,311","41,560","125,710,324"
"32","124","AftërLyfe","No morë talk","65,855,890","32,859","122,150,163"
"33","76","2 Alivë","Doublë","63,343,151","32,356","117,489,509"
"34","29","Up 2 Më","Ya Ya","60,511,540","18,243","112,237,409"
"35","275","Features","Yam","60,228,256","18,289","111,711,971"
"36","120","AftërLyfe","How it go","55,909,403","22,364","103,701,319"
"37","159","2093","U Should Know","52,554,163","25,480","97,477,987"
"38","27","Up 2 Më","Twizzy Rich","52,428,991","30,920","97,245,816"
"39","98","2 Alivë","Still countin","50,765,417","17,954","94,160,203"
"40","77","2 Alivë","Dub","50,633,687","15,020","93,915,868"
"41","118","AftërLyfe","Bëttr 0ff","50,381,939","49,999","93,448,924"
"42","21","Up 2 Më","Rokstar","50,337,774","22,988","93,367,006"
"43","218","Rich Minion","Rich Minion","48,334,748","5,836","89,651,773"
"44","107","Lyfë","Krank","47,490,961","27,259","88,086,709"
"45","175","LYFESTYLE","ORCHESTRATË","46,736,771","124,377","86,687,830"
"46","151","2093","Psycho CEO","46,681,133","21,853","86,584,632"
"47","240","Rendezvous","Rendezvous (feat. Yeat)","45,783,519","367,355","89,572,845"
"48","122","AftërLyfe","Mysëlf","44,265,550","37,663","82,104,184"
"49","10","Up 2 Më","Cmon","43,398,778","18,075","80,496,487"
"50","237","DOG HOUSE","DOG HOUSE (feat. Julia Wolf & Yeat)","43,092,361","87,436","84,263,966"
"51","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","42,364,489","22,301","78,578,077"
"52","13","Up 2 Më","Got rich","42,099,248","17,547","78,086,106"
"53","17","Up 2 Më","Lying 4 fun","41,909,333","19,848","77,733,849"
"54","210","Trëndi","Fukit","41,059,739","16,617","76,158,014"
"55","220","King tonka","Heavy stunts (with Don Toliver)","38,813,338","24,389","71,991,367"
"56","79","2 Alivë","Hatër","37,076,509","18,087","68,769,879"
"57","112","Lyfë","Wat it feel lykë","36,504,323","17,483","67,708,583"
"58","156","2093","Stand On It (with Future)","36,310,959","14,120","67,349,929"
"59","222","GEEKED UP","GEEKED UP (FEAT. YEAT)","35,143,845","44,826","68,756,929"
"60","165","LYFESTYLE","GEEK TIMË","34,397,083","24,612","63,800,053"
"61","89","2 Alivë","Nvr again","34,038,410","20,317","63,134,783"
"62","95","2 Alivë","Rollin","34,003,779","23,326","63,070,549"
"63","213","Trëndi","Tonka 2","33,904,529","8,166","62,886,459"
"64","129","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","32,770,085","9,162","60,782,281"
"65","252","Features","Fuk Tha Clout (feat. Yeat)","32,311,653","8,490","61,057,715"
"66","301","Features","5 2 Üh 60 (feat. Yeat)","31,998,181","10,102","59,350,546"
"67","83","2 Alivë","Kant rëlax","31,460,685","11,200","58,353,593"
"68","227","DANGEROUS SUMMER","2TONE","31,438,602","76,877","58,312,633"
"69","111","Lyfë","Up off X","31,195,613","17,918","57,861,934"
"70","92","2 Alivë","Outsidë (feat. Young Thug)","29,865,802","17,107","55,395,388"
"71","56","Alivë","Diëd B4","29,622,514","14,654","54,944,135"
"72","141","2093","Familia","28,873,812","30,392","53,555,435"
"73","146","2093","Morë","28,385,445","14,369","52,649,607"
