"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","268","Features","IDGAF (feat. Yeat)","601,585,627","195,149","1,176,356,777"
"2","19","Up 2 Më","Monëy so big","492,841,172","116,428","914,126,734"
"3","108","Lyfë","Out thë way","481,128,444","139,366","892,401,849"
"4","143","2093","If We Being Rëal","397,791,649","200,185","737,827,928"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","326,878,068","89,299","606,296,709"
"6","110","Lyfë","Talk","320,203,454","73,398","593,916,568"
"7","44","4L","Sorry Bout That","271,888,815","78,339","504,302,092"
"8","140","2093","Breathe","262,156,646","96,506","486,250,768"
"9","91","2 Alivë","On tha linë","227,751,730","77,366","422,436,186"
"10","14","Up 2 Më","Gët Busy","207,356,422","71,143","384,606,765"
"11","187","Orphan","Already Rich","196,492,265","55,985","364,455,818"
"12","93","2 Alivë","Poppin","193,393,478","54,865","358,708,156"
"13","228","DANGEROUS SUMMER","COMË N GO","192,439,279","516,809","356,938,299"
"14","126","AftërLyfe","Nun id change","182,295,558","95,337","338,123,623"
"15","26","Up 2 Më","Turban","166,240,800","38,071","308,345,098"
"16","188","Orphan","My wrist","120,609,049","37,193","223,706,870"
"17","94","2 Alivë","Rackz got më (feat. Gunna)","116,221,936","28,116","215,569,609"
"18","212","Trëndi","Mad bout that","113,848,203","33,100","211,166,785"
"19","23","Up 2 Më","Swërved It","105,552,395","34,342","195,779,637"
"20","11","Up 2 Më","Dëserve it","103,127,034","18,733","191,281,053"
"21","264","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","96,982,533","22,911","171,518,264"
"22","40","4L","Off Tha Lot","96,184,772","32,782","178,404,476"
"23","38","4L","Money Twërk","95,672,906","36,534","177,455,062"
"24","28","Up 2 Më","U could tëll","93,106,050","29,033","172,694,032"
"25","131","AftërLyfe","Split","77,000,120","21,159","142,820,592"
"26","109","Lyfë","Systëm","75,002,544","32,420","139,115,468"
"27","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","73,922,622","20,259","137,112,418"
"28","81","2 Alivë","Jus bëtter","73,138,577","30,821","135,658,164"
"29","142","2093","ILUV","71,649,631","43,076","132,896,452"
"30","189","Orphan","bigger thën everything","68,494,483","17,706","127,044,252"
"31","158","2093","Tell më","68,327,043","36,358","126,733,682"
"32","124","AftërLyfe","No morë talk","66,297,374","28,245","122,969,032"
"33","76","2 Alivë","Doublë","63,760,582","25,539","118,263,765"
"34","29","Up 2 Më","Ya Ya","60,770,943","16,908","112,718,552"
"35","275","Features","Yam","60,483,256","17,524","112,184,948"
"36","120","AftërLyfe","How it go","56,225,137","21,335","104,286,946"
"37","159","2093","U Should Know","52,934,265","26,671","98,183,004"
"38","27","Up 2 Më","Twizzy Rich","52,841,309","28,038","98,010,588"
"39","98","2 Alivë","Still countin","51,023,244","17,414","94,638,423"
"40","118","AftërLyfe","Bëttr 0ff","50,895,554","34,504","94,401,582"
"41","77","2 Alivë","Dub","50,859,681","14,242","94,335,044"
"42","21","Up 2 Më","Rokstar","50,619,294","18,637","93,889,172"
"43","240","Rendezvous","Rendezvous (feat. Yeat)","50,317,272","274,715","98,442,874"
