"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","242","Features","IDGAF (feat. Yeat)","544,515,216","230,789","1,064,753,765"
"2","19","Up 2 Më","Monëy so big","457,059,420","129,289","847,758,839"
"3","108","Lyfë","Out thë way","440,812,003","157,423","817,622,952"
"4","164","2093","If We Being Rëal","334,756,336","278,627","620,909,734"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","300,218,940","103,638","556,849,392"
"6","110","Lyfë","Talk","298,594,484","96,888","553,836,333"
"7","66","4L","Sorry Bout That","251,298,362","80,166","466,110,966"
"8","161","2093","Breathe","231,489,853","117,600","429,369,925"
"9","91","2 Alivë","On tha linë","208,039,371","71,013","385,873,713"
"10","14","Up 2 Më","Gët Busy","190,168,167","52,168","352,726,008"
"11","93","2 Alivë","Poppin","180,486,768","51,809","334,768,842"
"12","181","Orphan","Already Rich","180,479,296","68,121","334,754,983"
"13","26","Up 2 Më","Turban","155,966,967","34,803","289,289,246"
"14","125","AftërLyfe","Nun id change","155,911,731","89,117","289,186,793"
"15","184","Orphan","My wrist","110,600,448","43,992","205,142,927"
"16","94","2 Alivë","Rackz got më (feat. Gunna)","109,280,589","30,570","202,694,838"
"17","205","Trëndi","Mad bout that","104,193,606","32,267","193,259,446"
"18","11","Up 2 Më","Dëserve it","98,094,868","18,732","181,947,440"
"19","23","Up 2 Më","Swërved It","96,424,984","30,570","178,850,120"
"20","262","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","90,770,495","23,163","160,531,977"
"21","62","4L","Off Tha Lot","88,752,831","25,116","164,619,727"
"22","60","4L","Money Twërk","86,130,926","38,621","159,756,588"
"23","28","Up 2 Më","U could tëll","85,458,367","23,855","158,509,119"
"24","130","AftërLyfe","Split","71,224,753","20,071","132,108,455"
"25","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","68,076,814","20,002","126,269,623"
"26","109","Lyfë","Systëm","66,572,820","26,395","123,479,998"
"27","81","2 Alivë","Jus bëtter","66,447,254","18,111","123,247,097"
"28","183","Orphan","bigger thën everything","62,743,010","21,912","116,376,425"
"29","123","AftërLyfe","No morë talk","59,046,012","23,279","109,519,192"
"30","76","2 Alivë","Doublë","57,925,078","17,870","107,440,071"
"31","163","2093","ILUV","57,086,036","65,049","105,883,807"
