"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"214","87","Wake Up Call","Stay Up","1,220,846","512","2,264,438"
"258","294","Features","Racks (feat. Yeat)","206,088","489","382,254"
"223","254","Features","Monster","728,890","476","1,351,953"
"221","75","Different Creature","Goat Emoji","751,357","433","1,393,625"
"261","295","Features","Ley Go","174,344","432","323,375"
"243","79","Different Creature","Pit Stop (Interlude)","440,920","429","817,823"
"224","225","Features","My Turn (feat. Yeat)","723,566","392","1,342,078"
"219","255","Features","Prada U","874,848","377","1,622,677"
"222","66","Deep Blue Strips","Brink!","742,616","336","1,377,412"
"229","83","Wake Up Call","Alright","589,500","311","1,093,411"
"236","240","Features","More","467,543","297","900,401"
"240","76","Different Creature","Heavenly","445,588","292","826,481"
"233","88","Wake Up Call","This Is It","520,355","280","965,160"
"230","70","Big Geek Week","Big Geek Week","577,117","268","1,070,442"
"218","253","Features","Steppin Out!","950,161","256","1,762,369"
"238","81","G550","G550","447,199","254","829,469"
"245","74","Different Creature","Convertible (feat. DareDevil)","424,508","248","787,382"
"226","71","Number 1","Number 1","676,634","246","1,255,028"
"235","84","Wake Up Call","Celine","476,690","243","884,169"
"244","86","Wake Up Call","Pilot","439,255","235","814,735"
"237","78","Different Creature","Mixed Emotions","452,301","232","838,932"
"231","65","Loot","Loot (feat. Jban$2Turnt)","542,474","225","1,006,186"
"259","297","Features","Ley Go - Speed Up Version","188,495","224","349,622"
"246","77","Different Creature","How I Eat","404,929","219","751,066"
"232","69","Rockin It","Rockin It","530,624","218","984,207"
"242","80","Not The Same","Not The Same","441,984","215","819,796"
"234","68","Deep Blue Strips","I Can Tell","503,023","214","933,012"
"247","85","Wake Up Call","Impatient (feat. Oodaredevil)","399,558","197","741,104"
"241","67","Deep Blue Strips","Going Out Sad","444,221","184","823,945"
"251","252","Features","Hit Sum","337,874","183","626,692"
"283","118","SWITCHE LANES","SWITCHE LANES","55,324","175","102,615"
"248","72","Money Move","Money Move (feat. Nessly)","388,237","171","720,106"
"252","250","Features","All Week","333,325","153","618,254"
"249","281","Features","No Joke","348,299","143","646,028"
"253","249","Features","STFU","282,003","135","523,062"
"263","293","Features","BIG BOSS CEO (feat. Yeat)","157,542","130","292,210"
"254","251","Features","Give My Last (feat. Yeat)","277,645","117","514,979"
"257","279","Features","BOOTED UP","218,154","102","404,634"
"255","280","Features","Pöpped Out","276,463","99","512,786"
"256","278","Features","Do what I want","225,760","95","418,742"
"288","292","Features","Restart","40,961","93","75,974"
"225","290","Features","MÖB","694,617","69","1,288,383"
"270","277","Features","Percasseur","104,622","67","194,054"
"239","275","Features","Real High","446,274","63","827,753"
"262","231","Features","Hell Shell 2","166,510","61","308,844"
"277","276","Features","GOON","88,935","59","164,957"
"264","272","Features","Misguided","153,617","54","284,930"
"276","274","Features","HOW U FEEL? (BANKROLL)","89,337","53","165,703"
"267","273","Features","move","148,483","50","275,407"
"266","291","Features","Fashion Week","152,086","45","282,090"
"284","269","Features","inside today","54,596","35","101,265"
"275","224","Features","Ace of spades","89,505","34","166,014"
"285","270","Features","Not Today","52,340","33","97,080"
"271","268","Features","Inside Day","101,637","30","188,517"
"272","271","Features","BEEN AROUND","95,302","23","176,767"
"286","289","Features","Gas It!","44,743","18","82,989"
"282","266","Features","Too in!","55,929","16","103,737"
"296","227","Features","collateral","16,897","15","31,340"
"287","265","Features","Get Real Right","41,466","14","76,911"
"289","267","Features","Toö in","32,806","14","60,848"
"294","263","Features","Goonie (ZaZa) [feat. KanKan & Yeat]","21,127","14","39,186"
"290","264","Features","Serving","31,444","12","58,322"
"295","243","Features","Spill","18,199","12","33,755"
"308","228","Features","Side Bitch Finished","4,564","9","8,465"
"292","283","Features","Chanelly - Remix","30,399","8","56,384"
"297","238","Features","No Links","14,856","6","27,555"
"298","235","Features","Poppin' Tags","13,184","5","24,453"
"300","233","Features","Cannonball","12,418","5","23,033"
"301","234","Features","I Swear","12,196","5","22,621"
"304","237","Features","40","10,765","4","19,967"
"302","236","Features","Jumbo Jet","11,237","3","20,842"
"306","232","Features","Autopilot","8,922","3","16,548"
"299","282","Features","Bandaid","12,988","2","24,090"
"303","242","Features","What it Do","11,010","1","20,421"
"125","216","Cali","Cali","9,902,876","0","18,367,963"
"228","304","Features","Twizardry","599,618","0","1,112,178"
"265","307","Features","Mud","152,146","0","282,202"
"268","305","Features","Vegetarian","147,451","0","273,493"
"273","308","Features","Geeker!","91,783","0","170,240"
"274","223","Features","Urus","90,388","0","167,652"
"278","221","Features","Wake Up","84,674","0","157,054"
"279","303","Features","Minding My Bizness","73,390","0","136,124"
"280","306","Features","PradaBalenci","70,123","0","130,064"
"291","218","Features","Fair","30,463","0","56,503"
"293","302","Features","Personalities","24,847","0","46,086"
"305","220","Features","Calm Down","10,137","0","18,802"
"307","301","Features","Outlandish","8,070","0","14,968"
