"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","256","Features","IDGAF (feat. Yeat)","571,892,587","216,102","1,118,287,914"
"2","19","Up 2 Më","Monëy so big","472,072,445","132,965","875,605,163"
"3","108","Lyfë","Out thë way","458,074,311","146,011","849,641,270"
"4","164","2093","If We Being Rëal","364,879,782","235,330","676,783,033"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","311,739,279","103,731","578,217,443"
"6","110","Lyfë","Talk","308,770,554","80,002","572,711,020"
"7","66","4L","Sorry Bout That","259,992,765","70,228","482,237,440"
"8","161","2093","Breathe","245,028,151","112,074","454,480,909"
"9","91","2 Alivë","On tha linë","215,952,205","74,009","400,550,525"
"10","14","Up 2 Më","Gët Busy","197,437,626","64,207","366,209,480"
"11","184","Orphan","Already Rich","187,429,104","55,864","347,645,563"
"12","93","2 Alivë","Poppin","186,020,483","54,577","345,032,838"
"13","125","AftërLyfe","Nun id change","166,916,914","91,989","309,599,328"
"14","26","Up 2 Më","Turban","160,311,244","41,573","297,347,058"
"15","182","Orphan","My wrist","115,334,360","38,118","213,923,439"
"16","94","2 Alivë","Rackz got më (feat. Gunna)","112,293,150","29,616","208,282,569"
"17","207","Trëndi","Mad bout that","108,172,846","34,875","200,640,184"
"18","23","Up 2 Më","Swërved It","100,442,454","46,029","186,301,768"
"19","11","Up 2 Më","Dëserve it","100,274,293","19,988","185,989,861"
"20","275","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","93,251,783","23,979","164,920,254"
"21","62","4L","Off Tha Lot","91,750,465","30,744","170,179,771"
"22","60","4L","Money Twërk","90,516,849","40,244","167,891,647"
"23","28","Up 2 Më","U could tëll","88,816,487","29,984","164,737,797"
"24","221","DANGEROUS SUMMER","COMË N GO","83,769,057","1,174,627","155,375,768"
"25","130","AftërLyfe","Split","73,330,305","20,265","136,013,856"
"26","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","70,534,275","23,486","130,827,749"
"27","109","Lyfë","Systëm","70,015,506","36,356","129,865,530"
"28","81","2 Alivë","Jus bëtter","69,073,991","27,280","128,119,198"
"29","183","Orphan","bigger thën everything","65,496,562","23,459","121,483,743"
"30","163","2093","ILUV","63,961,310","55,587","118,636,141"
"31","179","2093","Tell më","62,226,484","48,528","115,418,367"
"32","123","AftërLyfe","No morë talk","62,002,629","26,723","115,003,158"
"33","76","2 Alivë","Doublë","60,161,928","22,640","111,589,005"
"34","29","Up 2 Më","Ya Ya","58,186,500","17,897","107,924,960"
"35","244","Features","Yam","57,656,915","22,192","106,942,680"
"36","119","AftërLyfe","How it go","53,102,468","18,936","98,495,041"
"37","77","2 Alivë","Dub","48,716,589","12,640","90,360,065"
"38","27","Up 2 Më","Twizzy Rich","48,620,836","32,072","90,182,461"
"39","98","2 Alivë","Still countin","48,522,521","18,513","90,000,105"
"40","180","2093","U Should Know","48,358,300","37,830","89,695,506"
"41","21","Up 2 Më","Rokstar","47,851,790","20,228","88,756,026"
"42","213","Rich Minion","Rich Minion","47,586,748","5,865","88,264,423"
"43","117","AftërLyfe","Bëttr 0ff","45,898,056","26,358","85,132,219"
"44","107","Lyfë","Krank","44,329,674","25,690","82,223,166"
"45","172","2093","Psycho CEO","43,590,097","23,399","80,851,391"
"46","10","Up 2 Më","Cmon","41,686,116","12,541","77,319,866"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","40,080,633","18,054","74,341,998"
"48","13","Up 2 Më","Got rich","40,000,611","15,699","74,193,573"
"49","17","Up 2 Më","Lying 4 fun","39,725,406","15,671","73,683,120"
"50","121","AftërLyfe","Mysëlf","39,315,465","35,951","72,922,756"
"51","205","Trëndi","Fukit","38,917,888","14,964","72,185,326"
"52","186","Orphan","Heavy stunts","35,353,341","24,889","65,573,765"
"53","79","2 Alivë","Hatër","35,143,789","16,067","65,185,086"
"54","112","Lyfë","Wat it feel lykë","34,563,097","14,483","64,108,012"
"55","177","2093","Stand On It (with Future)","34,383,050","15,288","63,774,059"
"56","208","Trëndi","Tonka 2","32,887,217","7,923","60,999,571"
"57","128","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","31,706,035","7,622","58,808,702"
"58","89","2 Alivë","Nvr again","31,680,136","18,270","58,760,664"
"59","95","2 Alivë","Rollin","31,609,028","18,429","58,628,772"
"60","265","Features","Fuk Tha Clout (feat. Yeat)","31,081,653","9,026","58,733,352"
"61","150","LYFESTYLE","ORCHESTRATË","31,081,152","78,755","57,649,662"
"62","299","Features","5 2 Üh 60 (feat. Yeat)","30,697,434","11,743","56,937,938"
"63","216","GEEKED UP","GEEKED UP (FEAT. YEAT)","30,422,248","27,584","59,519,211"
"64","140","LYFESTYLE","GEEK TIMË","30,042,268","39,989","55,722,729"
"65","83","2 Alivë","Kant rëlax","29,998,741","11,952","55,641,994"
"66","111","Lyfë","Up off X","29,281,617","15,110","54,311,865"
"67","230","DOG HOUSE","DOG HOUSE (feat. Julia Wolf & Yeat)","28,509,985","141,385","55,748,880"
"68","92","2 Alivë","Outsidë (feat. Young Thug)","28,194,995","14,397","52,296,386"
"69","36","Alivë","Diëd B4","28,011,258","11,162","51,955,589"
"70","167","2093","Morë","26,335,060","15,263","48,846,558"
