"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","267","Features","IDGAF (feat. Yeat)","580,619,766","183,408","1,135,359,567"
"2","19","Up 2 Më","Monëy so big","478,110,352","132,685","886,803,861"
"3","108","Lyfë","Out thë way","464,694,684","144,249","861,920,346"
"4","164","2093","If We Being Rëal","374,794,023","208,226","695,171,701"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","316,378,383","100,789","586,821,788"
"6","110","Lyfë","Talk","311,967,026","68,537","578,639,559"
"7","66","4L","Sorry Bout That","263,174,997","68,938","488,139,616"
"8","161","2093","Breathe","249,927,050","104,749","463,567,191"
"9","91","2 Alivë","On tha linë","219,063,164","70,960","406,320,547"
"10","14","Up 2 Më","Gët Busy","200,155,912","60,166","371,251,187"
"11","187","Orphan","Already Rich","189,860,625","55,920","352,155,385"
"12","93","2 Alivë","Poppin","188,070,163","45,123","348,834,419"
"13","126","AftërLyfe","Nun id change","171,156,121","85,373","317,462,084"
"14","26","Up 2 Më","Turban","162,071,289","37,267","300,611,447"
"15","227","DANGEROUS SUMMER","COMË N GO","122,724,882","738,600","227,631,338"
"16","185","Orphan","My wrist","116,826,964","33,004","216,691,821"
"17","94","2 Alivë","Rackz got më (feat. Gunna)","113,376,819","22,689","210,292,457"
"18","212","Trëndi","Mad bout that","109,766,419","31,293","203,595,851"
"19","23","Up 2 Më","Swërved It","102,000,808","31,480","189,192,118"
"20","11","Up 2 Më","Dëserve it","101,064,300","20,571","187,455,074"
"21","261","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","94,284,179","25,170","166,746,096"
"22","62","4L","Off Tha Lot","92,953,516","24,526","172,411,111"
"23","60","4L","Money Twërk","92,018,635","29,905","170,677,084"
"24","28","Up 2 Më","U could tëll","90,061,988","25,800","167,047,875"
"25","131","AftërLyfe","Split","74,307,757","20,637","137,826,770"
"26","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","71,526,287","21,367","132,667,672"
"27","109","Lyfë","Systëm","71,425,022","28,887","132,479,845"
"28","81","2 Alivë","Jus bëtter","70,076,937","24,399","129,979,403"
"29","186","Orphan","bigger thën everything","66,383,440","20,618","123,128,668"
"30","163","2093","ILUV","66,283,810","48,217","122,943,873"
"31","178","2093","Tell më","64,052,941","38,397","118,806,035"
"32","124","AftërLyfe","No morë talk","63,080,868","23,780","117,003,024"
"33","76","2 Alivë","Doublë","61,101,779","21,606","113,332,190"
"34","29","Up 2 Më","Ya Ya","58,943,325","14,795","109,328,668"
"35","271","Features","Yam","58,488,002","17,829","108,484,130"
"36","120","AftërLyfe","How it go","53,868,957","15,173","99,916,680"
"37","27","Up 2 Më","Twizzy Rich","49,856,539","24,966","92,474,407"
"38","179","2093","U Should Know","49,796,832","31,130","92,363,661"
"39","77","2 Alivë","Dub","49,289,543","12,606","91,422,737"
"40","98","2 Alivë","Still countin","49,235,551","15,532","91,322,592"
"41","21","Up 2 Më","Rokstar","48,642,236","14,886","90,222,105"
"42","218","Rich Minion","Rich Minion","47,806,478","5,211","88,671,933"
"43","118","AftërLyfe","Bëttr 0ff","47,091,661","25,641","87,346,083"
"44","107","Lyfë","Krank","45,237,311","16,354","83,906,616"
"45","171","2093","Psycho CEO","44,583,688","21,342","82,694,270"
"46","10","Up 2 Më","Cmon","42,210,134","12,004","78,291,778"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","40,830,469","14,245","75,732,762"
