"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","274","Features","IDGAF (feat. Yeat)","606,896,715","184,746","1,186,742,222"
"2","19","Up 2 Më","Monëy so big","496,109,238","117,705","920,188,375"
"3","108","Lyfë","Out thë way","485,097,859","137,382","899,764,359"
"4","143","2093","If We Being Rëal","403,206,150","186,516","747,870,799"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","329,309,835","86,762","610,807,175"
"6","110","Lyfë","Talk","322,143,216","68,825","597,514,458"
"7","44","4L","Sorry Bout That","274,023,683","74,773","508,261,867"
"8","140","2093","Breathe","264,789,604","92,519","491,134,405"
"9","91","2 Alivë","On tha linë","229,800,882","81,734","426,236,973"
"10","14","Up 2 Më","Gët Busy","209,103,671","57,178","387,847,580"
"11","227","DANGEROUS SUMMER","COMË N GO","205,895,500","467,852","381,897,032"
"12","188","Orphan","Already Rich","197,896,509","50,164","367,060,423"
"13","93","2 Alivë","Poppin","194,657,988","44,136","361,053,582"
"14","126","AftërLyfe","Nun id change","184,865,065","89,665","342,889,571"
"15","26","Up 2 Më","Turban","167,245,142","38,312","310,207,961"
"16","187","Orphan","My wrist","121,577,962","34,320","225,504,019"
"17","94","2 Alivë","Rackz got më (feat. Gunna)","116,903,165","23,864","216,833,159"
"18","212","Trëndi","Mad bout that","114,707,935","30,564","212,761,424"
"19","23","Up 2 Më","Swërved It","106,396,807","29,389","197,345,861"
"20","11","Up 2 Më","Dëserve it","103,626,064","17,782","192,206,659"
"21","270","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","97,563,655","20,182","172,546,006"
"22","40","4L","Off Tha Lot","96,958,879","28,389","179,840,298"
"23","38","4L","Money Twërk","96,608,565","32,390","179,190,532"
"24","28","Up 2 Më","U could tëll","93,891,239","26,860","174,150,409"
"25","131","AftërLyfe","Split","77,546,541","18,768","143,834,099"
"26","109","Lyfë","Systëm","75,830,486","27,279","140,651,143"
"27","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","74,464,210","18,924","138,116,961"
"28","81","2 Alivë","Jus bëtter","73,901,537","25,275","137,073,309"
"29","142","2093","ILUV","72,720,596","37,779","134,882,888"
"30","158","2093","Tell më","69,291,182","33,328","128,521,977"
"31","189","Orphan","bigger thën everything","68,974,475","17,201","127,934,545"
"32","124","AftërLyfe","No morë talk","66,994,226","23,855","124,261,560"
"33","76","2 Alivë","Doublë","64,430,782","23,593","119,506,858"
"34","29","Up 2 Më","Ya Ya","61,237,760","17,393","113,584,409"
"35","280","Features","Yam","60,929,416","15,183","113,012,490"
"36","239","Rendezvous","Rendezvous (feat. Yeat)","57,534,061","276,341","112,562,110"
"37","120","AftërLyfe","How it go","56,765,447","19,882","105,289,118"
"38","159","2093","U Should Know","53,625,235","24,217","99,464,622"
"39","27","Up 2 Më","Twizzy Rich","53,493,957","22,395","99,221,126"
"40","118","AftërLyfe","Bëttr 0ff","51,702,063","26,121","95,897,503"
"41","98","2 Alivë","Still countin","51,485,349","16,350","95,495,540"
"42","77","2 Alivë","Dub","51,241,513","14,336","95,043,270"
"43","175","LYFESTYLE","ORCHESTRATË","51,110,152","81,777","94,799,621"
"44","21","Up 2 Më","Rokstar","51,077,873","15,599","94,739,749"
"45","107","Lyfë","Krank","48,618,082","26,126","90,177,304"
"46","217","Rich Minion","Rich Minion","48,549,080","4,793","90,049,319"
"47","151","2093","Psycho CEO","47,497,491","18,030","88,098,821"
"48","236","DOG HOUSE","DOG HOUSE (feat. Julia Wolf & Yeat)","47,095,502","107,580","92,091,816"
"49","122","AftërLyfe","Mysëlf","45,669,838","30,846","84,708,872"
"50","10","Up 2 Më","Cmon","43,931,217","10,668","81,484,060"
"51","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","43,068,797","16,215","79,884,435"
"52","13","Up 2 Më","Got rich","42,739,120","12,608","79,272,947"
"53","17","Up 2 Më","Lying 4 fun","42,641,291","15,749","79,091,492"
"54","210","Trëndi","Fukit","41,790,782","19,218","77,513,960"
"55","219","King tonka","Heavy stunts (with Don Toliver)","39,715,823","18,924","73,665,305"
"56","79","2 Alivë","Hatër","37,735,050","14,107","69,991,348"
"57","112","Lyfë","Wat it feel lykë","37,137,109","15,338","68,882,281"
