"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","266","Features","IDGAF (feat. Yeat)","585,825,849","216,410","1,145,539,682"
"2","19","Up 2 Më","Monëy so big","481,779,586","151,058","893,609,593"
"3","108","Lyfë","Out thë way","468,718,455","159,924","869,383,677"
"4","164","2093","If We Being Rëal","380,503,074","232,989","705,760,906"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","319,161,237","111,311","591,983,453"
"6","110","Lyfë","Talk","313,947,449","79,265","582,312,867"
"7","66","4L","Sorry Bout That","265,095,498","82,676","491,701,780"
"8","161","2093","Breathe","252,908,286","120,662","469,096,817"
"9","91","2 Alivë","On tha linë","221,086,179","93,171","410,072,855"
"10","14","Up 2 Më","Gët Busy","201,807,733","68,803","374,315,001"
"11","187","Orphan","Already Rich","191,357,899","67,835","354,932,544"
"12","93","2 Alivë","Poppin","189,286,100","52,239","351,089,751"
"13","126","AftërLyfe","Nun id change","173,539,520","103,943","321,882,837"
"14","26","Up 2 Më","Turban","163,018,779","38,528","302,368,861"
"15","228","DANGEROUS SUMMER","COMË N GO","142,298,510","777,787","263,936,699"
"16","185","Orphan","My wrist","117,710,380","37,514","218,330,389"
"17","94","2 Alivë","Rackz got më (feat. Gunna)","114,023,962","28,112","211,492,784"
"18","212","Trëndi","Mad bout that","110,679,289","42,042","205,289,052"
"19","23","Up 2 Më","Swërved It","102,837,542","34,273","190,744,101"
"20","11","Up 2 Më","Dëserve it","101,533,320","18,850","188,325,017"
"21","260","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","94,949,250","28,991","167,922,306"
"22","62","4L","Off Tha Lot","93,674,767","33,989","173,748,894"
"23","60","4L","Money Twërk","92,822,724","33,249","172,168,516"
"24","28","Up 2 Më","U could tëll","90,772,029","29,875","168,364,867"
"25","131","AftërLyfe","Split","74,935,045","27,807","138,990,270"
"26","109","Lyfë","Systëm","72,223,498","35,308","133,960,866"
"27","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","72,103,057","24,733","133,737,471"
"28","81","2 Alivë","Jus bëtter","70,704,672","28,692","131,143,732"
"29","163","2093","ILUV","67,605,092","56,628","125,394,600"
"30","186","Orphan","bigger thën everything","66,894,800","20,542","124,077,143"
"31","178","2093","Tell më","65,099,120","43,444","120,746,498"
"32","124","AftërLyfe","No morë talk","63,743,501","26,446","118,232,083"
"33","76","2 Alivë","Doublë","61,676,794","22,814","114,398,734"
"34","29","Up 2 Më","Ya Ya","59,354,272","16,218","110,090,897"
"35","270","Features","Yam","58,978,248","20,986","109,393,444"
"36","120","AftërLyfe","How it go","54,369,178","22,761","100,844,495"
"37","179","2093","U Should Know","50,583,714","30,121","93,823,178"
"38","27","Up 2 Më","Twizzy Rich","50,547,435","26,923","93,755,887"
"39","77","2 Alivë","Dub","49,652,511","14,833","92,095,973"
"40","98","2 Alivë","Still countin","49,647,706","16,858","92,087,061"
"41","21","Up 2 Më","Rokstar","49,078,979","17,042","91,032,181"
"42","217","Rich Minion","Rich Minion","47,946,493","5,920","88,931,634"
"43","118","AftërLyfe","Bëttr 0ff","47,908,246","37,013","88,860,693"
"44","107","Lyfë","Krank","45,742,716","20,813","84,844,047"
"45","171","2093","Psycho CEO","45,174,380","24,922","83,789,891"
"46","10","Up 2 Më","Cmon","42,522,863","12,227","78,871,831"
"47","122","AftërLyfe","Mysëlf","41,738,531","42,223","77,417,044"
"48","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","41,212,162","14,616","76,440,730"
"49","13","Up 2 Më","Got rich","41,002,443","14,838","76,051,741"
"50","17","Up 2 Më","Lying 4 fun","40,760,618","17,397","75,603,201"
"51","210","Trëndi","Fukit","39,986,754","16,168","74,167,831"
"52","151","LYFESTYLE","ORCHESTRATË","38,631,124","106,351","71,653,395"
"53","189","Orphan","Heavy stunts","36,926,194","26,763","68,491,073"
"54","223","DOG HOUSE","DOG HOUSE (feat. Julia Wolf & Yeat)","36,524,180","110,977","71,420,367"
"55","79","2 Alivë","Hatër","36,065,006","14,085","66,893,733"
"56","112","Lyfë","Wat it feel lykë","35,462,436","15,024","65,776,080"
"57","176","2093","Stand On It (with Future)","35,363,435","14,565","65,592,452"
"58","213","Trëndi","Tonka 2","33,370,492","7,419","61,895,922"
"59","89","2 Alivë","Nvr again","32,814,714","18,377","60,865,059"
